Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-03,19.91449928283692,20.13549995422364,19.81100082397461,19.82200050354004,19.82200050354004,44204000,0.6713333333333333,0.08333333333333333,0.0967741935483871,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-20709913.174546674,-1448000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,19.68149948120117,-0.007088135343038537,0.0
2014-01-06,19.792499542236328,19.850000381469727,19.42099952697754,19.68149948120117,19.68149948120117,63412000,0.6713333333333333,0.08333333333333333,0.1935483870967742,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-7111236.276094941,-64860000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,19.901500701904297,0.011178072123684712,1.0
2014-01-07,19.75200080871582,19.92350006103516,19.714500427246094,19.901500701904297,19.901500701904297,38320000,0.6713333333333333,0.08333333333333333,0.22580645161290322,0.14285714285714285,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,23141616.173346028,-26540000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,20.09600067138672,0.009773130800322605,1.0
2014-01-09,20.18549919128418,20.34449958801269,19.92200088500977,20.050500869750977,20.050500869750977,42060000,0.6713333333333333,0.08333333333333333,0.2903225806451613,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,38618104.534445636,-22270000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,19.882999420166016,-0.008353978320694289,0.0
2014-01-10,20.12649917602539,20.1879997253418,19.690000534057617,19.882999420166016,19.882999420166016,53590000,0.6713333333333333,0.08333333333333333,0.3225806451612903,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,26565562.777613916,-75860000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,19.54899978637696,-0.016798251950372323,0.0
2014-01-13,19.89900016784668,19.98900032043457,19.42250061035156,19.54899978637696,19.54899978637696,56898000,0.6713333333333333,0.08333333333333333,0.41935483870967744,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-4921832.452832021,-132758000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,19.87700080871582,0.016778404313423367,1.0
2014-01-16,19.68400001525879,19.964500427246094,19.47050094604492,19.790000915527344,19.790000915527344,52024000,0.6713333333333333,0.08333333333333333,0.5161290322580645,0.42857142857142855,19.84440040588379,-inf,-inf,-inf,19.843386823480778,-inf,-inf,-inf,-0.10849952697753906,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,42460777.631078705,-191546000.0,-0.5452648418962008,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,19.980499267578125,0.009625990057499978,1.0
2014-01-17,19.71299934387207,20.17449951171875,19.683000564575195,19.980499267578125,19.980499267578125,90102000,0.6713333333333333,0.08333333333333333,0.5483870967741935,0.5714285714285714,19.8602502822876,-inf,-inf,-inf,19.868316358771203,-inf,-inf,-inf,0.15849876403808594,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,61434202.080119595,-101444000.0,0.7996103320135595,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,20.352500915527344,0.018618235859243937,1.0
2014-01-21,20.14999961853028,20.38999938964844,20.07999992370605,20.352500915527344,20.352500915527344,62442000,0.6713333333333333,0.08333333333333333,0.6774193548387096,0.14285714285714285,19.927350425720213,-inf,-inf,-inf,19.956349914545047,-inf,-inf,-inf,0.6710014343261754,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,108769855.2743177,-39002000.0,3.409300368435261,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,20.22699928283692,-0.006166398577320487,0.0
2014-01-22,20.39999961853028,20.402999877929688,20.100000381469727,20.22699928283692,20.22699928283692,41210000,0.6713333333333333,0.08333333333333333,0.7096774193548387,0.2857142857142857,19.959900283813475,-inf,-inf,-inf,20.005558890598117,-inf,-inf,-inf,0.3254985809326243,-inf,-inf,-inf,-inf,-inf,-inf,147.85741086053247,61.52416093938784,102105290.40862112,-80212000.0,1.635547920773023,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,19.99349975585937,-0.011543952897436371,0.0
2014-01-23,20.049999237060547,20.308500289916992,19.88949966430664,19.99349975585937,19.99349975585937,60508000,0.6713333333333333,0.08333333333333333,0.7419354838709677,0.42857142857142855,19.94965019226074,-inf,-inf,-inf,20.00336632064562,-inf,-inf,-inf,-0.1025009155273473,-inf,-inf,-inf,-inf,-inf,-inf,58.79832389733236,56.535093831407686,71634656.25028762,-140720000.0,-0.510056290320945,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,19.3799991607666,-0.03068500275510666,0.0
2014-01-27,19.52499961853028,19.70499992370605,19.02449989318848,19.31399917602539,19.31399917602539,78736000,0.6713333333333333,0.08333333333333333,0.8709677419354839,0.0,19.82569999694824,-inf,-inf,-inf,19.785294535030182,-inf,-inf,-inf,-0.569000244140625,-inf,-inf,26.962530840423923,-inf,-inf,-inf,-177.03573022273068,47.05999585013016,-24726277.63212431,-308624000.0,-2.8617424972789847,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,19.72150039672852,0.02109874899492392,1.0
2014-01-28,19.3700008392334,19.73699951171875,19.356000900268555,19.72150039672852,19.72150039672852,57890000,0.6713333333333333,0.08333333333333333,0.9032258064516129,0.14285714285714285,19.842950057983398,-inf,-inf,-inf,19.773695600793516,-inf,-inf,-inf,0.17250061035155895,-inf,-inf,24.383481143416578,32.88910344516744,-inf,-inf,-79.10769044387955,48.26211697296077,28453764.169501778,-250734000.0,0.8824012084330207,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,19.209999084472656,-0.02593622706012333,0.0
2014-01-29,19.607999801635746,19.64249992370605,19.16200065612793,19.209999084472656,19.209999084472656,67646000,0.6713333333333333,0.08333333333333333,0.9354838709677419,0.2857142857142857,19.776249885559082,-inf,-inf,-inf,19.67120532509881,-inf,-inf,-inf,-0.6670017242431641,-inf,-inf,28.33995866604116,26.56199021662722,-inf,-inf,-133.7809916039148,41.67539647431538,-25677536.005157243,-318380000.0,-3.3556457066233656,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,20.15049934387207,0.048958891422312245,1.0
2014-01-30,19.6884994506836,20.3125,19.38500022888184,20.15049934387207,20.15049934387207,209478000,0.6713333333333333,0.08333333333333333,0.967741935483871,0.42857142857142855,19.811949729919434,-inf,-inf,-inf,19.758349692148492,-inf,-inf,-inf,0.3569984436035156,-inf,-inf,48.56726315415643,33.76356765453806,-inf,-inf,43.138470986537115,51.29863339602934,110624007.24282746,-108902000.0,1.8036144560898366,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,17.934499740600586,-0.10997244115170712,0.0
2014-01-31,18.58799934387207,18.772499084472656,17.88800048828125,17.934499740600586,17.934499740600586,323096000,0.6713333333333333,0.08333333333333333,1.0,0.5714285714285714,19.62639961242676,-inf,-inf,-inf,19.42674061004887,-inf,-inf,-inf,-1.8555011749267578,-inf,-inf,32.329474786513906,36.41223220223716,-inf,-inf,-293.4191072869846,41.42993878712427,-178500831.0344534,-431998000.0,-9.375952951426704,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,17.3075008392334,-0.034960490141120126,0.0
2014-02-05,17.299999237060547,17.4685001373291,16.886499404907227,17.322500228881836,17.322500228881836,88708000,0.6713333333333333,0.16666666666666666,0.16129032258064516,0.2857142857142857,18.773149681091308,-inf,-inf,-inf,18.4843417842197,-inf,-inf,-inf,-2.9044990539550852,-inf,-inf,10.950654749325972,16.39869580087731,-inf,-inf,-142.37423593268517,29.183698369420647,-240461277.10880283,-630064000.0,-14.359515286182958,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,17.72949981689453,0.023495429795642453,1.0
2014-02-06,17.3700008392334,17.740999221801758,17.3700008392334,17.72949981689453,17.72949981689453,66714000,0.6713333333333333,0.16666666666666666,0.1935483870967742,0.42857142857142855,18.546749687194826,-inf,-inf,-inf,18.34709779016058,-inf,-inf,-inf,-2.26399993896484,-inf,-inf,15.974109960772742,11.452935779307262,-inf,-inf,-91.44301246340655,33.106652967873515,-177882989.4732057,-563350000.0,-11.323680029062166,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,18.054000854492188,0.018302887331792528,1.0
2014-02-11,18.09199905395508,18.18050003051757,17.8125,18.089500427246094,18.089500427246094,64442000,0.6713333333333333,0.16666666666666666,0.3548387096774194,0.14285714285714285,18.12390003204346,-inf,-inf,-inf,18.21942502562098,-inf,-inf,-inf,-1.6319999694824254,-inf,-inf,33.738864288791206,28.984902208502252,-0.8152753617748019,-inf,-38.1247354355365,32.12343931377506,-103968908.12808272,-481292000.0,-8.275232292940288,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,17.462499618530273,-0.034661035070456814,0.0
2014-02-12,17.821500778198242,17.887500762939453,17.31599998474121,17.462499618530273,17.462499618530273,131754000,0.6713333333333333,0.16666666666666666,0.3870967741935484,0.2857142857142857,17.94915008544922,-inf,-inf,-inf,18.08180222433176,-inf,-inf,-inf,-1.7474994659423828,-inf,-inf,28.27618108667537,30.680064277110656,-0.8240262939614489,-inf,-65.14258542401274,30.94731530931568,-168174749.0123704,-613046000.0,-9.09682222397854,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,17.860000610351562,0.022763121002418396,1.0
