Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-02,15.6899995803833,16.15999984741211,15.68000030517578,16.100000381469727,12.895574569702148,148709900,0.6713333333333333,0.08333333333333333,0.06451612903225806,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,111532720.46030682,148709900.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,13.143874168395996,0.019254636336811348,1.0
2014-01-03,16.270000457763672,16.5,16.229999542236328,16.40999984741211,13.143874168395996,129921800,0.6713333333333333,0.08333333333333333,0.0967741935483871,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,154839987.12697348,278631700.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,13.344117164611816,0.015234701249445814,1.0
2014-01-06,16.6299991607666,16.729999542236328,16.559999465942383,16.65999984741211,13.344117164611816,114431300,0.6713333333333333,0.08333333333333333,0.1935483870967742,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,175034199.08604404,393063000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,13.215962409973145,-0.0096038391343366,0.0
2014-01-08,16.670000076293945,16.690000534057617,16.520000457763672,16.579999923706055,13.280038833618164,101036400,0.6713333333333333,0.08333333333333333,0.25806451612903225,0.2857142857142857,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,67242244.81190208,383494300.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,13.480280876159668,0.015078422966248839,1.0
2014-01-10,16.75,16.790000915527344,16.610000610351562,16.770000457763672,13.432221412658691,87454100,0.6713333333333333,0.08333333333333333,0.3225806451612903,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,173116587.6564406,396987400.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,13.159893989562988,-0.020274191046244838,0.0
2014-01-13,16.790000915527344,16.799999237060547,16.399999618530273,16.43000030517578,13.159893989562988,90025400,0.6713333333333333,0.08333333333333333,0.41935483870967744,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,96595319.61266689,306962000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,13.432221412658691,0.020693739882075235,1.0
2014-01-14,16.540000915527344,16.770000457763672,16.530000686645508,16.770000457763672,13.432221412658691,97786600,0.6713333333333333,0.08333333333333333,0.45161290322580644,0.14285714285714285,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,194381919.6126669,404748600.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,13.736589431762695,0.02265954452010166,1.0
2014-01-21,17.079999923706055,17.15999984741211,16.8700008392334,17.010000228881836,13.624455451965332,118269200,0.6713333333333333,0.08333333333333333,0.6774193548387096,0.14285714285714285,16.813000106811522,-inf,-inf,-inf,16.80491370696219,-inf,-inf,-inf,0.35000038146972656,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-100814606.46577947,474236400.0,2.1008426451101925,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,13.736589431762695,0.008230345806678585,1.0
2014-01-22,17.079999923706055,17.149999618530273,17.0,17.149999618530273,13.736589431762695,68114400,0.6713333333333333,0.08333333333333333,0.7096774193548387,0.2857142857142857,16.87800006866455,-inf,-inf,-inf,16.867656599974566,-inf,-inf,-inf,0.6499996185302734,-inf,-inf,-inf,-inf,-inf,-inf,91.82235319677729,64.62170071400381,-32700206.46577947,542350800.0,3.9393916274562026,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,13.504311561584473,-0.016909428015744132,0.0
2014-01-23,17.06999969482422,17.09000015258789,16.739999771118164,16.860000610351562,13.504311561584473,123765900,0.6713333333333333,0.08333333333333333,0.7419354838709677,0.42857142857142855,16.9060001373291,-inf,-inf,-inf,16.866264601861293,-inf,-inf,-inf,0.2800006866455078,-inf,-inf,-inf,-inf,-inf,-inf,26.70422996218238,59.99369351292414,-71597559.71671543,418584900.0,1.6887858138356402,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,13.175909996032717,-0.02431827524521546,0.0
