Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-06,63.63999938964844,63.810001373291016,63.25,63.52000045776367,39.78363800048828,1889000,0.6713333333333333,0.08333333333333333,0.1935483870967742,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1793244.511281544,2432000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,40.51641082763672,0.018418949698352005,1.0
2014-01-08,64.52999877929688,65.12999725341797,64.27999877929688,64.76000213623047,40.56025314331055,2935500,0.6713333333333333,0.08333333333333333,0.25806451612903225,0.2857142857142857,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,572080.072025286,7564100.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,41.53730392456055,0.02408887286274597,1.0
2014-01-09,65.5,66.44000244140625,65.16000366210938,66.31999969482422,41.53730392456055,2961600,0.6713333333333333,0.08333333333333333,0.2903225806451613,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,2978366.8326289626,10525700.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,42.45172882080078,0.022014546199267127,1.0
2014-01-10,66.7699966430664,67.81999969482422,66.63999938964844,67.77999877929688,42.45172882080078,3385000,0.6713333333333333,0.08333333333333333,0.3225806451612903,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,6133870.113914321,13910700.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,42.06967544555664,-0.00899971298829505,0.0
2014-01-14,67.19999694824219,67.43000030517578,66.81999969482422,67.11000061035156,42.0321044921875,1750500,0.6713333333333333,0.08333333333333333,0.45161290322580644,0.14285714285714285,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,3820864.321931095,9308200.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,41.73147964477539,-0.007152267321470562,0.0
2014-01-17,66.31999969482422,66.55000305175781,66.05000305175781,66.29000091552734,41.51852416992188,1947600,0.6713333333333333,0.08333333333333333,0.5483870967741935,0.5714285714285714,66.07500038146972,-inf,-inf,-inf,65.79410808342547,-inf,-inf,-inf,2.7800025939941406,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,3929372.0870719505,3967400.0,4.3772676231540295,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,41.88803482055664,0.008899898491633973,1.0
2014-01-22,66.87999725341797,67.23999786376953,66.79000091552734,67.12000274658203,42.038368225097656,2148200,0.6713333333333333,0.08333333333333333,0.7096774193548387,0.2857142857142857,66.65400009155273,-inf,-inf,-inf,66.19671707226273,-inf,-inf,-inf,2.4300003051757812,-inf,-inf,-inf,-inf,-inf,-inf,64.74959339265936,77.08329079373857,7112372.644862015,8890800.0,3.756376895142002,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,41.58740997314453,-0.010727301534123157,0.0
2014-01-23,66.72000122070312,67.0,66.06999969482422,66.4000015258789,41.58740997314453,2643500,0.6713333333333333,0.08333333333333333,0.7419354838709677,0.42857142857142855,66.81800003051758,-inf,-inf,-inf,66.23367788201112,-inf,-inf,-inf,1.6399993896484375,-inf,-inf,-inf,-inf,-inf,-inf,29.880170613071265,70.79748922178419,6344914.696758288,6247300.0,2.532426398316821,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,41.29304885864258,-0.007078130489300505,0.0
2014-01-24,66.08999633789062,66.81999969482422,65.86000061035156,65.93000030517578,41.29304885864258,2383200,0.6713333333333333,0.08333333333333333,0.7741935483870968,0.5714285714285714,66.77900009155273,-inf,-inf,-inf,66.17846377713197,-inf,-inf,-inf,-0.3899993896484375,-inf,-inf,62.391981072020506,-inf,-inf,-inf,1.705530752934999,69.27624846190784,4309263.513008914,3864100.0,-0.5880569834786565,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,41.59993743896485,0.007431967093852521,1.0
2014-01-29,66.08000183105469,66.45999908447266,65.87000274658203,66.27999877929688,41.51224899291992,2646200,0.6713333333333333,0.08333333333333333,0.9354838709677419,0.2857142857142857,66.46900024414063,-inf,-inf,-inf,66.23845223475719,-inf,-inf,-inf,-0.8300018310546875,-inf,-inf,46.038386300336946,51.4735343777995,-inf,-inf,-68.2862057763981,54.685307753684505,5181190.639459788,6301500.0,-1.2367781604917192,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,41.99452209472656,0.011617609585279132,1.0
