Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-06,68.0,68.19999694824219,67.66000366210938,67.95999908447266,42.44176483154297,2470000,0.6713333333333333,0.08333333333333333,0.1935483870967742,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3350075.5398869207,3247900.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,42.772743225097656,0.007798412598259974,1.0
2014-01-07,68.02999877929688,68.52999877929688,68.0,68.48999786376953,42.772743225097656,2772200,0.6713333333333333,0.08333333333333333,0.22580645161290322,0.14285714285714285,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-996331.3641513302,6020100.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,42.37305068969727,-0.009344561635828308,0.0
2014-01-09,67.88999938964844,68.01000213623047,67.44999694824219,67.87000274658203,42.38555145263672,2379900,0.6713333333333333,0.08333333333333333,0.2903225806451613,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1542751.5852854857,4518700.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,42.83519744873047,0.010608473422746512,1.0
2014-01-10,68.19000244140625,69.5,68.13999938964844,68.58999633789062,42.83519744873047,4036300,0.6713333333333333,0.08333333333333333,0.3225806451612903,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-2907990.01609925,8555000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,42.32310104370117,-0.011955037808387026,0.0
2014-01-14,67.81999969482422,68.0,67.52999877929688,67.56999969482422,42.19820785522461,3290600,0.6713333333333333,0.08333333333333333,0.45161290322580644,0.14285714285714285,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-7253269.9897119915,1324300.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,41.92341232299805,-0.006512019021503113,0.0
2014-01-17,67.37000274658203,67.69999694824219,67.19999694824219,67.56999969482422,42.19820785522461,3302500,0.6713333333333333,0.08333333333333333,0.5483870967741935,0.5714285714285714,67.81599884033203,-inf,-inf,-inf,67.77908171976893,-inf,-inf,-inf,-0.34999847412109375,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-7287851.392032443,4153200.0,-0.5153098992295345,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,42.78523254394531,0.013911128423621522,1.0
2014-01-24,68.16999816894531,69.33000183105469,68.0,68.26000213623047,42.62911605834961,4705900,0.6713333333333333,0.08333333333333333,0.7741935483870968,0.5714285714285714,67.99399948120117,-inf,-inf,-inf,68.15701823817349,-inf,-inf,-inf,0.3899993896484375,-inf,-inf,58.36732829688865,-inf,-inf,-inf,82.75954504446788,51.07907989933885,-6766939.263130914,1917700.0,0.5746270426784064,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,42.922630310058594,0.006885299974487724,1.0
2014-01-29,68.69000244140625,69.30999755859375,68.54000091552734,68.98999786376953,43.08500671386719,4436700,0.6713333333333333,0.08333333333333333,0.9354838709677419,0.2857142857142857,68.25500030517578,-inf,-inf,-inf,68.4768341563179,-inf,-inf,-inf,1.4199981689453125,-inf,-inf,73.33331257305025,65.39682935116504,-inf,-inf,99.50960283342582,66.32872774370524,-3817100.5629953826,12677400.0,2.101521644751587,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,43.64707565307617,0.013045580866257067,1.0
2014-01-30,69.13999938964844,69.91999816894531,69.11000061035156,69.88999938964844,43.64707565307617,3444400,0.6713333333333333,0.08333333333333333,0.967741935483871,0.42857142857142855,68.53100051879883,-inf,-inf,-inf,68.73377328965073,-inf,-inf,-inf,2.7600021362304688,-inf,-inf,83.461051955152,73.39858335649849,-inf,-inf,158.95144259182374,72.03350758995204,-627831.6910188925,16121800.0,4.111428942580422,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,44.10295486450195,0.010444667932607565,1.0
2014-02-03,70.68000030517578,71.75,70.08999633789062,70.45999908447266,44.00303649902344,5425300,0.6713333333333333,0.16666666666666666,0.0967741935483871,0.0,69.14600067138672,-inf,-inf,-inf,69.32822864263292,-inf,-inf,-inf,2.8899993896484375,-inf,-inf,89.95169073999405,88.52485627376764,-inf,-inf,188.03036771684447,81.15562539850764,710579.967367013,15472600.0,4.277045142372271,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,43.67829132080078,-0.00738006292429072,0.0
2014-02-05,69.87999725341797,69.87999725341797,69.27999877929688,69.62000274658203,43.47845077514648,2848800,0.6713333333333333,0.16666666666666666,0.16129032258064516,0.2857142857142857,69.38600082397461,-inf,-inf,-inf,69.47228615225937,-inf,-inf,-inf,0.970001220703125,-inf,-inf,62.90780763524327,76.77424571107379,-inf,-inf,54.57696651645884,81.25732303042062,294614.5041337816,8998200.0,1.4129660584748347,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,43.72200775146485,0.005601785987682906,1.0
2014-02-07,69.68000030517578,70.11000061035156,69.3499984741211,69.98999786376953,43.709510803222656,3805000,0.6713333333333333,0.16666666666666666,0.22580645161290322,0.5714285714285714,69.70700073242188,-inf,-inf,-inf,69.64640636188501,-inf,-inf,-inf,1.7299957275390625,-inf,-inf,57.40602417660525,59.87445316782307,0.8735963741215187,-inf,51.138911766436486,81.44156314921071,5075461.591047825,7967200.0,2.5344208517403928,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,44.17788314819336,0.010715570510026584,1.0
2014-02-10,69.87000274658203,70.83999633789062,69.5199966430664,70.73999786376953,44.17788314819336,3071500,0.6713333333333333,0.16666666666666666,0.3225806451612903,0.0,69.90800018310547,-inf,-inf,-inf,69.84524118040947,-inf,-inf,-inf,2.0099945068359375,-inf,-inf,63.605850197285264,60.107134021837055,0.9048772414645043,-inf,92.5519018322161,81.49050463998144,7681589.796694735,11038700.0,2.924478988306591,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,44.52763748168945,0.00791695546667226,1.0
2014-02-12,70.44000244140625,70.9000015258789,70.25,70.87000274658203,44.74860763549805,2509700,0.6713333333333333,0.16666666666666666,0.3870967741935484,0.2857142857142857,70.34400100708008,-inf,-inf,-inf,70.2479723220629,-inf,-inf,-inf,1.8800048828125,-inf,-inf,79.3030265660817,71.76457572326541,0.9645830676345355,-inf,92.37375380267295,82.08449998752404,11624716.416029159,11160900.0,2.7250397753669082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,45.10221481323242,0.007902082241635355,1.0
2014-02-21,71.61000061035156,72.22000122070312,71.45999908447266,71.48999786376953,45.140098571777344,2926100,0.6713333333333333,0.16666666666666666,0.6774193548387096,0.5714285714285714,71.2229995727539,69.5706667582194,-inf,-inf,71.1763310698879,69.72265296394205,-inf,-inf,1.4799957275390625,70.9909702325378,71.14720621077566,70.9520556490998,74.11477146578649,0.9971106104833325,0.9822002386227067,88.47542999801968,67.20791190511468,9269133.472433275,24843900.0,2.1139775494638338,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,44.900150299072266,-0.005315634664012414,0.0
2014-02-26,71.12000274658203,71.33000183105469,70.72000122070312,70.87999725341797,44.75493240356445,3431200,0.6713333333333333,0.16666666666666666,0.8387096774193549,0.2857142857142857,71.32199935913086,69.86366678873698,-inf,-inf,71.0926104751714,69.95455327751468,-inf,-inf,-0.42000579833984375,5.335565665507847,26.849993720396686,52.34001033284438,58.48455502093895,0.7827558307112668,0.915901129720899,-10.243125152020292,59.597282432768885,3140239.290118042,16275100.0,-0.5890684156562446,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,44.470794677734375,-0.006348746620103207,0.0
2014-02-27,70.76000213623047,71.06999969482422,70.25,70.43000030517578,44.470794677734375,2480900,0.6713333333333333,0.16666666666666666,0.8709677419354839,0.42857142857142855,71.27799911499024,69.95900014241536,-inf,-inf,70.97213589880856,69.98522727929927,-inf,-inf,-0.44000244140625,1.0339336910585226,10.554379253896192,44.74976914334898,51.751989738107845,0.6779077757399818,0.8683024589247157,-78.02191344005332,53.5733238407113,1748517.1518398665,13794200.0,-0.6208585076250343,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,44.75493240356445,0.006389310735037013,1.0
