Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-02,91.13999938964844,91.7300033569336,91.01000213623048,91.02999877929688,66.6776351928711,5919600,0.6713333333333333,0.08333333333333333,0.06451612903225806,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-5590789.089984428,5919600.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,67.27826690673828,0.009007993641793277,1.0
2014-01-06,91.93000030517578,92.75,91.87000274658205,92.33000183105467,67.62982940673828,7443500,0.6713333333333333,0.08333333333333333,0.1935483870967742,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3960525.783831685,19000700.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,69.06553649902344,0.021228903057710635,1.0
2014-01-08,94.16999816894533,94.5999984741211,93.87999725341795,94.16000366210938,68.97029876708984,9096700,0.6713333333333333,0.08333333333333333,0.25806451612903225,0.2857142857142857,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,601805.4286858367,20967300.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,69.3877944946289,0.006053268363370945,1.0
2014-01-17,94.72000122070312,95.16999816894533,94.37999725341795,95.05999755859376,69.6295166015625,13714400,0.6713333333333333,0.08333333333333333,0.5483870967741935,0.5714285714285714,94.39700088500976,-inf,-inf,-inf,94.09714883851609,-inf,-inf,-inf,3.2099990844726705,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,13519457.144719237,46291500.0,3.494827586063699,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,68.8750991821289,-0.010834735845583365,0.0
2014-01-22,93.98999786376952,94.5500030517578,93.54000091552734,94.31999969482422,69.08747863769531,8875500,0.6713333333333333,0.08333333333333333,0.7096774193548387,0.2857142857142857,94.57000045776367,-inf,-inf,-inf,94.12767791101884,-inf,-inf,-inf,0.029998779296875,-inf,-inf,-inf,-inf,-inf,-inf,18.076507601727936,65.66989328369164,20596634.29914001,38798600.0,0.03181544066772292,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,67.93016052246094,-0.016751488664154546,0.0
2014-01-23,93.73999786376952,93.8000030517578,92.41000366210938,92.73999786376952,67.93016052246094,9322300,0.6713333333333333,0.08333333333333333,0.7419354838709677,0.42857142857142855,94.4279998779297,-inf,-inf,-inf,93.8753724478826,-inf,-inf,-inf,-1.420005798339858,-inf,-inf,-inf,-inf,-inf,-inf,-94.12397350425194,60.98365043868002,15700674.29474875,29476300.0,-1.5080774671966988,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,66.37001037597656,-0.022966972762687887,0.0
2014-01-24,92.12000274658205,92.61000061035156,90.61000061035156,90.61000061035156,66.37001037597656,10604200,0.6713333333333333,0.08333333333333333,0.7741935483870968,0.5714285714285714,94.01599960327148,-inf,-inf,-inf,93.2816684774224,-inf,-inf,-inf,-4.120002746582031,-inf,-inf,37.22200160945052,-inf,-inf,-inf,-231.99473842193834,54.695585504908664,5096474.29474875,18872100.0,-4.349205743251433,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,65.8792495727539,-0.007394315601919721,0.0
2014-01-28,90.58000183105467,90.5999984741211,89.79000091552734,90.0999984741211,65.99645233154297,8254400,0.6713333333333333,0.08333333333333333,0.9032258064516129,0.14285714285714285,93.09599990844727,-inf,-inf,-inf,92.20607567807595,-inf,-inf,-inf,-4.400001525878906,-inf,-inf,2.391045223342162,17.376552000690165,-inf,-inf,-164.63933687608463,41.647285571927895,-3806953.2411854304,18441300.0,-4.656086270771329,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,65.117431640625,-0.013319211258539743,0.0
2014-01-29,89.47000122070312,89.70999908447266,88.52999877929688,88.9000015258789,65.117431640625,11160100,0.6713333333333333,0.08333333333333333,0.9354838709677419,0.2857142857142857,92.51399993896484,-inf,-inf,-inf,91.6049712867674,-inf,-inf,-inf,-5.819999694824219,-inf,-inf,4.191545607782058,6.366400000134011,-inf,-inf,-157.34143726707234,34.355894756137936,-7968296.3188048005,7281200.0,-6.144425274302183,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,65.55693817138672,0.0067494451130583055,1.0
2014-01-30,89.62000274658203,89.77999877929688,89.01000213623047,89.5,65.55693817138672,6874900,0.6713333333333333,0.08333333333333333,0.967741935483871,0.42857142857142855,91.98399963378907,-inf,-inf,-inf,91.22224923462787,-inf,-inf,-inf,-5.300003051757798,-inf,-inf,8.446264117576233,5.009618316233484,-inf,-inf,-113.08903246804195,33.62620569173763,-6093323.591532073,14156100.0,-5.590720338757969,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,64.802490234375,-0.011508285134356866,0.0
2014-01-31,89.01000213623047,89.33999633789062,88.1500015258789,88.47000122070312,64.802490234375,12193800,0.6713333333333333,0.08333333333333333,1.0,0.5714285714285714,91.36699981689453,-inf,-inf,-inf,90.72184050482338,-inf,-inf,-inf,-6.1699981689453125,-inf,-inf,8.095865346405551,6.91122502392128,-inf,-inf,-111.99228854462453,32.45516857149415,-11729091.170951853,1962300.0,-6.5194402036525965,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,63.5645866394043,-0.019102716431012245,0.0
2014-02-04,86.93000030517578,87.27999877929688,86.08999633789062,86.62000274658203,63.44740676879883,11436400,0.6713333333333333,0.16666666666666666,0.12903225806451613,0.14285714285714285,89.79800033569336,-inf,-inf,-inf,89.38966214332928,-inf,-inf,-inf,-7.409996032714844,-inf,-inf,4.076966390545037,6.37417981678558,-inf,-inf,-122.93256888913001,25.704070224969463,-24738096.999009106,-23418700.0,-7.8804595649387,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,63.93082809448242,0.007619244825011862,1.0
2014-02-05,86.48999786376953,87.66999816894531,86.4800033569336,87.27999877929688,63.93082809448242,10667300,0.6713333333333333,0.16666666666666666,0.16129032258064516,0.2857142857142857,89.09400024414063,-inf,-inf,-inf,89.00608698623248,-inf,-inf,-inf,-7.040000915527344,-inf,-inf,6.947423156749108,5.9913657535667655,-inf,-inf,-97.12712303836287,26.946860153702172,-21062828.304025937,-12751400.0,-7.463953496931215,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,65.007568359375,0.016842269949972843,1.0
2014-02-06,87.62999725341797,88.76000213623047,87.55000305175781,88.75,65.007568359375,10037900,0.6713333333333333,0.16666666666666666,0.1935483870967742,0.42857142857142855,88.69500045776367,-inf,-inf,-inf,88.95952571600839,-inf,-inf,-inf,-3.989997863769517,-inf,-inf,16.058143274979855,9.027510940758,-inf,-inf,-57.958596901073726,33.21634684678284,-11190879.575487565,-2713500.0,-4.302348453394001,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,65.95248413085938,0.014535473258447285,1.0
2014-02-07,88.91999816894531,90.04000091552734,88.61000061035156,90.04000091552734,65.95248413085938,9435100,0.6713333333333333,0.16666666666666666,0.22580645161290322,0.5714285714285714,88.63800048828125,-inf,-inf,-inf,89.15597575228456,-inf,-inf,-inf,-0.5699996948242188,-inf,-inf,28.74705257281379,17.25087300151425,-2.312615864074374,-inf,-12.735870622514488,30.92567851726757,-1755779.5754875652,6721600.0,-0.6290692980738157,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,66.70694732666016,0.01143949626376184,1.0
2014-02-10,90.23999786376952,91.08000183105467,89.80000305175781,91.06999969482422,66.70694732666016,8080200,0.6713333333333333,0.16666666666666666,0.3225806451612903,0.0,88.75100021362304,-inf,-inf,-inf,89.50398010547359,-inf,-inf,-inf,1.1299972534179688,-inf,-inf,44.00021593094121,29.60180392624495,-2.009325021555796,-inf,39.84417111064105,38.7821583772425,6198140.208505085,14801800.0,1.2563900630913756,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,68.0986557006836,0.02086301996714557,1.0
2014-02-11,91.08999633789062,92.97000122070312,90.9499969482422,92.97000122070312,68.0986557006836,11556300,0.6713333333333333,0.16666666666666666,0.3548387096774194,0.14285714285714285,89.03800048828126,-inf,-inf,-inf,90.13416576278804,-inf,-inf,-inf,2.8700027465820312,-inf,-inf,63.980068286995,45.57577893025,-1.5972386269590828,-inf,125.12363698176121,39.89417924758853,17754440.20850517,26358100.0,3.185352713858664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,67.69576263427734,-0.005916314533095934,0.0
2014-02-14,92.5999984741211,92.9499969482422,92.02999877929688,92.76000213623048,67.94481658935547,5485100,0.6713333333333333,0.16666666666666666,0.45161290322580644,0.5714285714285714,90.125,91.85600026448567,-inf,-inf,91.2506736123298,91.86037662465085,-inf,-inf,4.290000915527358,93.99923174851001,-inf,94.0579929684276,88.52834419081398,-0.8106278086241332,-inf,110.8260684490146,53.02863418671519,25378500.13314146,30073100.0,4.849102358239193,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,67.51264953613281,-0.006360559567547108,0.0
2014-02-18,92.7699966430664,92.8499984741211,92.08999633789062,92.16999816894533,67.51264953613281,6926500,0.6713333333333333,0.16666666666666666,0.5806451612903226,0.14285714285714285,90.66399993896485,91.86666692097982,-inf,-inf,91.41782353171445,91.88035220815374,-inf,-inf,5.389999389648452,92.17283792770986,93.8365735798501,92.85026376690807,92.82964060721649,-0.6677849571311469,-inf,87.10303959608808,53.499353327466245,19910239.936384205,23146600.0,6.211107934394607,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,67.12442779541016,-0.00575035557617809,0.0
2014-02-19,92.1500015258789,92.75,91.56999969482422,91.63999938964844,67.12442779541016,7693400,0.6713333333333333,0.16666666666666666,0.6129032258064516,0.2857142857142857,91.16599960327149,91.8436668395996,-inf,-inf,91.4582191422479,91.86484557470179,-inf,-inf,5.019996643066406,87.20449290900585,91.1255208617419,88.40582915098895,91.7713619621082,-0.5905400620633827,-inf,63.135312607502186,54.832553935895945,13129611.992117563,15453200.0,5.795424248314853,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,67.66648864746094,0.008075463282948725,1.0
2014-02-27,91.16000366210938,91.41999816894533,90.75,91.36000061035156,67.40087127685547,7040300,0.6713333333333333,0.16666666666666666,0.8709677419354839,0.42857142857142855,91.77199935913086,91.22533315022787,-inf,-inf,91.37798281119956,91.71100212195513,-inf,-inf,-1.0599975585937642,45.17945883869573,58.386872978966494,66.44933036304191,70.13721127783019,-0.3833900114322404,-0.6692617580323715,-46.46827334978921,53.88189676916401,6349441.222220092,14865400.0,-1.1469352733118114,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,67.96159362792969,0.008319215174103611,1.0
2014-02-28,91.41999816894533,92.63999938964844,91.05999755859376,92.12000274658205,67.96159362792969,9643700,0.6713333333333333,0.16666666666666666,0.9032258064516129,0.5714285714285714,91.72799987792969,91.13599980672201,-inf,-inf,91.51289552672365,91.73738925902784,-inf,-inf,-0.43999481201171875,42.05087025786553,49.06319827890215,66.98466764652413,67.73535851534864,-0.2937192888444713,-0.5941532641947915,16.48540393413282,54.07770493273173,9645437.658621157,24509100.0,-0.47536173683797517,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,67.54843139648438,-0.0060793487820085534,0.0
2014-03-03,91.12999725341795,91.9800033569336,90.83000183105467,91.55999755859376,67.54843139648438,7506700,0.6713333333333333,0.25,0.0967741935483871,0.0,91.60799942016601,91.03333307902018,-inf,-inf,91.52145953251822,91.7259446331934,-inf,-inf,-1.2000045776367188,34.09457032387616,40.44163314014581,58.04641751697681,63.82680517551429,-0.2647899993762479,-0.5282806112310828,-62.8993150423266,46.82191627737495,11668914.453351071,17002400.0,-1.2936659659347047,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,68.86163330078125,0.019440894142883414,1.0
2014-03-04,92.47000122070312,93.45999908447266,92.25,93.33999633789062,68.86163330078125,8796300,0.6713333333333333,0.25,0.12903225806451613,0.14285714285714285,91.72499923706054,90.97599970499674,-inf,-inf,91.85210258804048,91.8300770012384,-inf,-inf,1.1699981689452983,58.8875791893254,45.0110065903557,69.02266855576958,64.68458457309016,-0.09711284717803892,-0.44204705842047404,150.3157983105453,45.432038248347624,18720452.53856075,25798700.0,1.2693915506005768,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,68.30831146240234,-0.008035270321893884,0.0
2014-03-12,92.81999969482422,93.62000274658205,92.6500015258789,93.5999984741211,69.05345916748047,6154900,0.6713333333333333,0.25,0.3870967741935484,0.2857142857142857,92.77199859619141,91.2293327331543,-inf,-inf,92.887973738738,92.3020982618668,-inf,-inf,2.4899978637695312,97.0950956068374,91.9539508222736,93.34737875248088,90.0841898713286,0.36327310292243453,0.055011433662004915,77.79339051157005,51.075366820623884,24085886.657020643,50336800.0,2.7329577950706625,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,68.61080169677734,-0.006410359104958352,0.0
2014-03-14,92.87999725341795,93.44000244140624,92.45999908447266,92.80999755859376,68.47061157226562,7337800,0.6713333333333333,0.25,0.45161290322580644,0.5714285714285714,93.00499801635742,91.47633260091146,92.02559967041016,-inf,92.89046131509784,92.37698697904558,92.02559967041016,-inf,0.6899948120117188,68.37608981946174,83.53092274094804,73.99389960481727,83.87297880554448,0.3319406612016138,0.15863245139038756,31.71520599753889,59.16463307581484,14581018.604371697,35339600.0,0.7490173593566462,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,69.296875,0.01206741708247061,1.0
2014-03-19,93.88999938964844,94.36000061035156,92.91999816894533,93.58999633789062,69.04607391357422,5937600,0.6713333333333333,0.25,0.6129032258064516,0.2857142857142857,93.4019989013672,92.12933247884115,92.15059967041016,-inf,93.30030499272183,92.63726270673435,92.22801886334364,-inf,1.0,89.61165481828226,80.02767085296419,87.2549936833034,80.56529490998712,0.4512858114254783,0.2938974040723341,78.43170640649471,65.22269960937993,18345398.159523726,41166500.0,1.0800302835639812,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,69.43705749511719,0.005662647553753342,1.0
