Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,111.55518341064452,113.68729400634766,110.99497985839844,112.91806030273438,79.78388214111328,4182651,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,114.41638870239258,118.30295435587566,118.8408024597168,116.20560218811035,114.11826893585413,116.99473411264267,117.96535319213267,116.20560218811035,-3.026756286621108,37.980325156580456,26.548668882893228,29.72618557095811,21.40238819283033,-2.078287715233955,-1.5415697832760897,-83.77523210074574,38.155500040060694,11159258.19472466,34632933.0,-2.610514532392632,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,81.17217254638672,0.01740063742220488,1.0
2014-10-20,114.67391204833984,115.1755828857422,114.34782409667967,115.05016326904295,81.29033660888672,3327870,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,113.95568542480468,117.91025619506836,118.75752487182618,116.19899681091309,114.40145731667648,116.7418232663852,117.73489350377712,116.1810754407316,-2.290977478027372,75.6688776502816,56.691521969022546,51.565762446483994,40.53001440603057,-1.7240742496639,-1.6353066812006085,2.005438710449354,44.60089377525323,16039080.205481002,42441497.0,-1.952407709215637,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,83.25761413574219,0.024200632066768923,1.0
2014-10-21,115.71906280517578,117.9765853881836,115.6688995361328,117.8344497680664,83.25761413574219,3681766,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,114.22742462158203,117.81187286376954,118.76337768554687,116.2127928161621,115.02563776238372,116.81231529875173,117.73879767100415,116.19752692657575,2.7173919677734517,92.84428073100668,74.97950716049796,71.09637155161799,54.320076399583854,-1.3450372875510226,-1.5772528024706916,82.22347960725271,50.32701208841718,19267309.522339016,46123263.0,2.3605467510189757,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,82.087890625,-0.014049447883950683,0.0
2014-10-22,117.80936431884766,117.96822357177734,115.96990203857422,116.1789321899414,82.087890625,5135983,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,114.02173919677735,117.65328877766927,118.731103515625,116.21822761535644,115.23532765830329,116.77145187237687,117.67762647566835,116.1973419043207,-2.056854248046875,90.12381590882843,86.21232476337224,78.2033736201182,66.95516920607339,-1.1648070267426505,-1.4947636473250834,62.67740529423805,49.303670700091686,15205803.563266918,40987280.0,-1.7396207273722866,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,85.69161224365234,0.04390077015275162,1.0
2014-10-23,118.6622085571289,123.6789321899414,118.6622085571289,121.27926635742188,85.69161224365234,8879582,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,114.55769271850586,117.67279841105143,118.78545135498047,116.2534283065796,116.33422560359757,117.06227861334752,117.81886725534495,116.24790831678938,5.359535217285156,93.18193805973736,92.05001156652416,84.93525804947946,78.07833440707189,-0.6034625637263105,-1.3165034306053287,177.4589989726657,52.96720097637955,15590586.53025356,49866862.0,4.623488309169689,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,87.78292846679688,0.02440514501230484,1.0
2014-10-24,121.23745727539062,124.40635681152344,121.07859802246094,124.23912811279295,87.78292846679688,5359156,0.6713333333333333,0.8333333333333334,0.7741935483870968,0.5714285714285714,115.79180603027343,117.80239690144857,118.88996643066406,116.30418079376221,117.77148060526946,117.52530116169883,118.07064219093117,116.32742294162524,12.341133117675753,93.18193805973736,92.16256400943439,86.31185434310156,83.15016200423308,0.07932862355227144,-1.0373370197738088,190.0254825631748,54.724941521264135,20411118.945443712,55226018.0,11.028913537024746,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,88.35598754882812,0.006528138124806349,1.0
2014-10-27,123.8210678100586,125.1755828857422,123.19397735595705,125.05016326904295,88.35598754882812,3396640,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,117.18478240966797,117.94397989908855,119.01772552490235,116.36011722564697,119.09487745322826,118.0107761363662,118.34434889987674,116.41421637771896,13.929763793945298,100.0,95.45462537315825,93.84836151857559,88.36515797038554,0.6780729152400227,-0.6942550327710425,166.75912938054307,59.84140133878102,23377799.217877228,58622658.0,12.535739485950096,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,89.24215698242188,0.010029534592706835,1.0
2014-10-29,126.58026885986328,126.8645477294922,125.58528137207033,126.26254272460938,89.21260070800781,2464478,0.6713333333333333,0.8333333333333334,0.9354838709677419,0.2857142857142857,120.0,118.27424774169921,119.24682266235351,116.48545169830322,121.47057310886302,119.04369696607172,118.954781831436,116.60963978536138,14.038459777832031,99.88123688982934,99.96041229660977,98.48888236810774,97.1984790830477,1.6618977155231107,0.08637575727880534,121.59954111423286,64.22846840826557,26092353.84772272,58979305.0,12.509311200600159,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,89.8565444946289,0.007218081095166307,1.0
2014-10-30,125.8277587890625,127.42475128173828,125.41806030273438,127.17391204833984,89.8565444946289,2196454,0.6713333333333333,0.8333333333333334,0.967741935483871,0.42857142857142855,121.42558517456055,118.4208475748698,119.37224075317383,116.54255870819092,122.50754382513152,119.56822697137935,119.27710066347144,116.71475692230645,14.255851745605469,99.88123688982934,99.92082459321955,98.29180751763418,98.67962774940058,2.046601683646159,0.47842094255227613,103.67910820958211,74.47540817111633,27739688.08457073,61175759.0,12.624952737751071,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,90.8431396484375,0.010979669420378979,1.0
2014-11-03,128.04347229003906,129.088623046875,127.90969848632812,128.17726135253906,90.5654754638672,2831530,0.6713333333333333,0.9166666666666666,0.0967741935483871,0.0,124.10702438354492,118.82971064249675,119.68060211181641,116.67466575622558,124.44028968016939,120.66695399244395,119.97627162596974,116.94560287997794,13.127098083496108,98.69125600646218,99.48457659537361,97.01053623397182,97.59033547150095,2.6821035437374405,1.2323817139752773,92.8386120709118,77.01412449313175,26220142.42397927,61951724.0,11.409890877597974,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,91.59933471679688,0.011415600123936276,1.0
