Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-08,71.50537872314453,71.69355010986328,71.25447845458984,71.42472839355469,46.22997283935547,1203048,0.6713333333333333,0.08333333333333333,0.25806451612903225,0.2857142857142857,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3528158.4586797254,7951834.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,46.867942810058594,0.013799920949986388,1.0
2014-01-09,71.50537872314453,72.61648559570312,71.03046417236328,72.41039276123047,46.867942810058594,3008848,0.6713333333333333,0.08333333333333333,0.2903225806451613,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1301269.6474926635,10960682.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,47.17533874511719,0.00655876739255179,1.0
2014-01-10,72.24910736083984,72.91218566894531,72.21326446533203,72.88530731201172,47.17533874511719,1831468,0.6713333333333333,0.08333333333333333,0.3225806451612903,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,389333.1151616608,12792150.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,46.624359130859375,-0.011679399213955666,0.0
2014-01-15,72.36559295654297,72.66129302978516,72.1415786743164,72.4372787475586,46.88536071777344,1710828,0.6713333333333333,0.08333333333333333,0.4838709677419355,0.2857142857142857,71.71326217651367,-inf,-inf,-inf,71.71326217651367,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-226166.8170083101,14215161.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,47.4305305480957,0.011627719654412338,1.0
2014-01-16,73.1899642944336,73.36917877197266,73.03763580322266,73.27957153320312,47.4305305480957,1567645,0.6713333333333333,0.08333333333333333,0.5161290322580645,0.42857142857142855,71.98745574951172,-inf,-inf,-inf,71.99804569591174,-inf,-inf,-inf,2.7419357299804688,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,494092.75750384014,15782806.0,3.8871953940015636,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,47.08255386352539,-0.007336554758067826,0.0
2014-01-21,72.92115020751953,73.13619995117188,72.73297119140625,72.91218566894531,47.1927375793457,1328598,0.6713333333333333,0.08333333333333333,0.6774193548387096,0.14285714285714285,72.36828002929687,-inf,-inf,-inf,72.27491429111815,-inf,-inf,-inf,1.9534072875976562,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-224129.5250345429,15988596.0,2.752876151699833,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,46.856353759765625,-0.007127872567564308,0.0
2014-01-22,72.4372787475586,72.57168579101562,72.24910736083984,72.39247131347656,46.856353759765625,1423570,0.6713333333333333,0.08333333333333333,0.7096774193548387,0.2857142857142857,72.4865592956543,-inf,-inf,-inf,72.29628829518332,-inf,-inf,-inf,1.1827926635742188,-inf,-inf,-inf,-inf,-inf,-inf,36.47647275883947,81.33859189112441,-382341.3797683477,14565026.0,1.6609998612538899,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,47.43633270263672,0.012377807838925614,1.0
2014-01-23,73.32437133789062,73.49462127685547,72.98387145996094,73.28852844238281,47.43633270263672,3203032,0.6713333333333333,0.08333333333333333,0.7419354838709677,0.42857142857142855,72.67293930053711,-inf,-inf,-inf,72.47669559467414,-inf,-inf,-inf,1.863800048828125,-inf,-inf,-inf,-inf,-inf,-inf,111.19762427961483,83.86515850809027,235777.52990377124,17768058.0,2.609460463830497,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,46.30537796020508,-0.02384152985689758,0.0
2014-01-24,72.05197143554688,72.13261413574219,71.3709716796875,71.54122161865234,46.30537796020508,2464574,0.6713333333333333,0.08333333333333333,0.7741935483870968,0.5714285714285714,72.5860221862793,-inf,-inf,-inf,72.30660941721563,-inf,-inf,-inf,-0.869171142578125,-inf,-inf,61.43614795398799,-inf,-inf,-inf,-71.45520083711433,75.35502100526195,-1126984.0127186868,15303484.0,-1.2003403233071417,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,45.69060134887695,-0.01327657042031849,0.0
2014-01-27,71.20071411132812,71.20967864990234,70.46595001220703,70.59140014648438,45.69060134887695,2675945,0.6713333333333333,0.08333333333333333,0.8709677419354839,0.0,72.35663146972657,-inf,-inf,-inf,71.99475318617357,-inf,-inf,-inf,-2.2939071655273438,-inf,-inf,40.3617920161821,-inf,-inf,-inf,-172.05382861930912,67.00908614802312,-2900186.6882895613,12627539.0,-3.1472833827913367,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,46.14296722412109,0.009900632994300773,1.0
