Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-06,82.19999694824219,82.61000061035156,82.08000183105469,82.27999877929688,59.27553939819336,3888400,0.6713333333333333,0.08333333333333333,0.1935483870967742,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-4897087.557839108,10451500.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,60.140079498291016,0.01458510726136053,1.0
2014-01-09,83.33999633789062,83.38999938964844,82.37000274658203,82.8499984741211,59.686180114746094,4565900,0.6713333333333333,0.08333333333333333,0.2903225806451613,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3164787.5339899347,6564700.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,60.154441833496094,0.007845396000376814,1.0
2014-01-10,83.19999694824219,83.63999938964844,82.75,83.5,60.154441833496094,3712000,0.6713333333333333,0.08333333333333333,0.3225806451612903,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-620603.468291373,10276700.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,59.34040069580078,-0.0135325191770298,0.0
2014-01-14,82.62999725341797,82.86000061035156,82.26000213623047,82.37000274658203,59.34040069580078,4389200,0.6713333333333333,0.08333333333333333,0.45161290322580644,0.14285714285714285,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-7528527.202558655,5789600.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,59.71500396728516,0.006312786349467414,1.0
2014-01-16,82.68000030517578,83.16999816894531,82.30000305175781,82.86000061035156,59.69340133666992,3724700,0.6713333333333333,0.08333333333333333,0.5161290322580645,0.42857142857142855,82.80800018310546,-inf,-inf,-inf,82.7552728132768,-inf,-inf,-inf,0.7600021362304688,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-5092177.619379524,6254000.0,0.9257029845987519,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,59.21790313720703,-0.00796567440982443,0.0
2014-01-17,82.94000244140625,82.9800033569336,82.04000091552734,82.19999694824219,59.21790313720703,6259600,0.6713333333333333,0.08333333333333333,0.5483870967741935,0.5714285714285714,82.80400009155274,-inf,-inf,-inf,82.65431356508869,-inf,-inf,-inf,-0.04000091552734375,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-9220908.331670934,-5600.0,-0.048639246797653406,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,59.736595153808594,0.00875904057932897,1.0
2014-01-22,82.83000183105469,83.0,82.47000122070312,82.8499984741211,59.686180114746094,3920400,0.6713333333333333,0.08333333333333333,0.7096774193548387,0.2857142857142857,82.80499954223633,-inf,-inf,-inf,82.72941596895754,-inf,-inf,-inf,-0.6300048828125,-inf,-inf,-inf,-inf,-inf,-inf,5.961236213592064,44.37995861162552,-4291134.139392294,864700.0,-0.7546775964044972,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,59.38359832763672,-0.0050695451866356045,0.0
2014-01-23,82.8499984741211,82.8499984741211,81.87000274658203,82.43000030517578,59.38359832763672,5429100,0.6713333333333333,0.08333333333333333,0.7419354838709677,0.42857142857142855,82.72399978637695,-inf,-inf,-inf,82.67497675736085,-inf,-inf,-inf,-0.80999755859375,-inf,-inf,-inf,-inf,-inf,-inf,-96.39232325912404,40.669277399834975,-3515548.4251065794,-4564400.0,-0.9730869526443175,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,58.66318130493164,-0.012131582507518779,0.0
2014-01-24,82.06999969482422,82.62999725341797,81.43000030517578,81.43000030517578,58.66318130493164,5906200,0.6713333333333333,0.08333333333333333,0.7741935483870968,0.5714285714285714,82.58199996948242,-inf,-inf,-inf,82.44861740241811,-inf,-inf,-inf,-1.4199981689453125,-inf,-inf,24.62682053478557,-inf,-inf,-inf,-193.60180636907717,34.24535930747369,-9421748.42510658,-10470600.0,-1.7139386784525543,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,59.1170539855957,0.007736925795156502,1.0
2014-01-28,82.38999938964844,82.66999816894531,81.70999908447266,82.31999969482422,59.30435562133789,3867800,0.6713333333333333,0.08333333333333333,0.9032258064516129,0.14285714285714285,82.43299942016601,-inf,-inf,-inf,82.36742114823707,-inf,-inf,-inf,-0.0500030517578125,-inf,-inf,21.8144299751087,21.18238827683461,-inf,-inf,-78.92244695724482,39.42440340739973,-8675519.79070948,-791800.0,-0.06070541470254764,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,57.7914924621582,-0.02551015255674327,0.0
