Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-06,29.19354820251465,29.36432647705078,28.9658432006836,28.984819412231445,18.570877075195312,25255421,0.6713333333333333,0.08333333333333333,0.1935483870967742,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-29516867.667261913,59468999.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,18.68637466430664,0.006219285639750272,1.0
2014-01-07,29.2789363861084,29.430740356445312,29.165084838867188,29.165084838867188,18.68637466430664,23423042,0.6713333333333333,0.08333333333333333,0.22580645161290322,0.14285714285714285,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-52939909.66726191,82892041.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,18.81403541564941,0.006831755952459773,1.0
2014-01-09,29.4876651763916,29.525617599487305,29.041746139526367,29.34535026550293,18.801876068115234,21692901,0.6713333333333333,0.08333333333333333,0.2903225806451613,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-28934364.64094364,85360193.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,18.655981063842773,-0.00775959823072514,0.0
2014-01-13,29.2789363861084,29.44022750854492,28.880455017089844,28.97533226013184,18.56479835510254,25276396,0.6713333333333333,0.08333333333333333,0.41935483870967744,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-49203257.90259953,37192920.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,18.844425201416016,0.015062207569662034,1.0
2014-01-14,29.013282775878903,29.459203720092773,28.984819412231445,29.41176414489746,18.844425201416016,34757336,0.6713333333333333,0.08333333333333333,0.45161290322580644,0.14285714285714285,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-21397556.80045007,71950256.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,18.95384407043457,0.005806431761597786,1.0
2014-01-22,29.70588111877441,29.734344482421875,29.497154235839844,29.667932510375977,19.00855255126953,23554265,0.6713333333333333,0.08333333333333333,0.7096774193548387,0.2857142857142857,29.41650848388672,-inf,-inf,-inf,29.413516690452422,-inf,-inf,-inf,0.5028476715087891,-inf,-inf,-inf,-inf,-inf,-inf,111.90444493814371,77.54391291535181,-6422184.906217795,108866184.0,1.7241426667775823,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,18.850500106811523,-0.008314806928708118,0.0
2014-01-23,29.430740356445312,29.62998008728028,29.32637596130371,29.42125129699707,18.850500106811523,26367391,0.6713333333333333,0.08333333333333333,0.7419354838709677,0.42857142857142855,29.42220096588135,-inf,-inf,-inf,29.41492298255145,-inf,-inf,-inf,0.05692481994628906,-inf,-inf,-inf,-inf,-inf,-inf,41.519688176821596,71.5314757487773,-16310122.180505762,82498793.0,0.19385705982658155,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,18.29125213623047,-0.029667540246265056,0.0
2014-01-24,29.2789363861084,29.37381362915039,28.51992416381836,28.54838752746582,18.29125213623047,38059518,0.6713333333333333,0.08333333333333333,0.7741935483870968,0.5714285714285714,29.342504692077636,-inf,-inf,-inf,29.257371081626786,-inf,-inf,-inf,-0.7969627380371094,-inf,-inf,49.67375957993577,-inf,-inf,-inf,-176.62037220163845,62.94089246888095,-51832304.9748071,44439275.0,-2.7158058459911545,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,18.029861450195312,-0.014290475254966628,0.0
2014-01-27,28.50094985961914,28.7001895904541,28.140417098999023,28.140417098999023,18.029861450195312,34880233,0.6713333333333333,0.08333333333333333,0.8709677419354839,0.0,29.244781684875488,-inf,-inf,-inf,29.054288539330827,-inf,-inf,-inf,-0.9772300720214844,-inf,-inf,20.927574313599106,-inf,-inf,-inf,-253.72701152806462,54.742370910481526,-86712537.9748071,9559042.0,-3.3561436687579542,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,18.49185562133789,0.025623833683845243,1.0
2014-01-28,28.880455017089844,29.17457389831543,28.58633804321289,28.861480712890625,18.49185562133789,35917158,0.6713333333333333,0.08333333333333333,0.9032258064516129,0.14285714285714285,29.233396530151367,-inf,-inf,-inf,29.019232570887155,-inf,-inf,-inf,-0.11385154724121449,-inf,-inf,15.129252953159229,28.57686228223137,-inf,-inf,-87.84114459198472,56.156657483767596,-89029762.70438671,45476200.0,-0.39292576947552993,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,18.30340576171875,-0.010190965335122315,0.0
