Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,81.6500015258789,82.80000305175781,81.56999969482422,82.23999786376953,60.860008239746094,11310200,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,83.5160011291504,83.80566736857097,83.27860031127929,80.65919998168945,83.37356158006767,83.45749611425713,83.05308883226228,80.65919998168945,-0.8100051879882812,10.676740041092886,18.985318457836755,26.59428261492863,31.126452417273196,-0.0706671535258323,0.14072500320208417,-219.83883336877287,33.903423855083126,-114584815.71114056,-26589200.0,-0.9753222856397438,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,61.62223815917969,0.01252431508768348,1.0
2014-10-17,82.94999694824219,83.4800033569336,82.02999877929688,83.2699966430664,61.62223815917969,11786600,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,83.4640007019043,83.7890007019043,83.34120025634766,80.67284996032714,83.35473159152198,83.44539937418031,83.06159502092126,80.68517805792206,-0.5200042724609375,15.82774049852103,13.803729135884057,32.56266293519797,28.737673295793655,-0.07914373569902011,0.09675125542186332,-90.12722052171547,41.53379613344741,-106212363.73776443,-14802600.0,-0.620604209069264,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,62.29568862915039,0.010928692142454732,1.0
2014-10-22,84.05999755859375,84.58999633789062,83.91999816894531,84.2300033569336,62.81076049804688,9747600,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,83.67500076293945,83.89133427937826,83.52460037231445,80.72540000915528,83.80105207579679,83.60778266589334,83.20624205317054,80.79320009225017,0.0500030517578125,81.44658210244125,64.36181699705003,74.66313781377005,61.81492807140328,0.11138919260946523,0.08216616726320847,89.38698111784917,55.649618520418514,-88462077.75701475,-3602500.0,0.05940015630379854,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,62.06502151489258,-0.011872790223221297,0.0
2014-10-23,84.26000213623047,84.33000183105469,82.30000305175781,83.2300033569336,62.06502151489258,14292100,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,83.63200073242187,83.88266779581706,83.55960037231445,80.7403500366211,83.69722503600349,83.58340980725077,83.2071738690044,80.81744689090374,-0.43000030517578125,68.37136874005061,73.62434858919197,66.12767345909155,68.94284990287885,0.05922589763046915,0.0775781133366606,-40.486240221207126,47.99048481883331,-89658940.95474774,-17894600.0,-0.5139855203837788,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,63.50425338745117,0.02318909810114622,1.0
2014-10-24,85.0999984741211,85.97000122070312,84.91000366210938,85.16000366210938,63.50425338745117,13465600,0.6713333333333333,0.8333333333333334,0.7741935483870968,0.5714285714285714,83.67900085449219,83.94600118001303,83.62380050659179,80.76405006408692,83.96318478620456,83.68512553982231,83.28375542951831,80.86065641101524,0.470001220703125,70.93106625243352,73.58300569830847,66.01108187736787,68.93396438340983,0.1716424185284069,0.09639097437500987,180.72283183044792,50.790414948693765,-96772828.21219002,-4429000.0,0.5549665924597189,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,64.09336853027344,0.00927678244208252,1.0
2014-10-27,84.95999908447266,86.4800033569336,84.83000183105469,85.94999694824219,64.09336853027344,10316600,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,83.9370002746582,84.01533432006836,83.7072004699707,80.79230003356933,84.3244233611205,83.83124627584941,83.38831392044865,80.91129661536577,2.5799942016601562,79.05583076844506,72.7860885869764,71.84686539920978,67.99520691188974,0.32078140879775674,0.14126906125955924,174.26513009029384,56.61666793473492,-93083936.16293654,5887600.0,3.0946313022233043,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,64.48111724853516,0.006049747846823994,1.0
2014-11-03,86.66000366210938,87.38999938964844,86.19999694824219,87.37999725341797,65.1596908569336,7789500,0.6713333333333333,0.9166666666666666,0.0967741935483871,0.0,85.77800064086914,84.44500071207682,84.10700042724609,80.95475002288818,86.03196722005893,84.71670990745268,84.03227335114956,81.20459562997571,3.1999969482421875,100.0,100.0,99.05624740303949,98.30701891524849,0.9166150576594845,0.5541372532979284,94.47427821604823,56.445992522923,-66712786.9654243,44915500.0,3.8013743604672294,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,66.09929656982422,0.01442004559158594,1.0
2014-11-12,89.5999984741211,89.87999725341797,89.41999816894531,89.4800033569336,66.7256851196289,6298700,0.6713333333333333,0.9166666666666666,0.3870967741935484,0.2857142857142857,88.5859992980957,85.59033381144205,84.94740036010742,81.31584999084473,88.49839581918829,86.39763054213711,85.29604567130743,81.74430855933564,2.94000244140625,95.88134277285849,98.15908165416094,96.59422038994546,96.50797608548696,1.5066645478316616,1.2256963854467804,94.71806788756149,75.80509062476955,-48310248.72903411,69291400.0,3.3972757225598125,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,66.0694580078125,-0.009834700245338723,0.0
2014-11-13,88.94000244140625,89.83999633789062,88.45999908447266,88.5999984741211,66.0694580078125,10191600,0.6713333333333333,0.9166666666666666,0.41935483870967744,0.42857142857142855,88.75199890136719,85.77533365885417,85.045400390625,81.37449996948243,88.51686902917606,86.5397187958135,85.42561244788835,81.81252437938325,1.6599960327148438,68.92250910345228,88.23412051578107,88.3768716124514,94.17884992996846,1.4268545033694409,1.2659280090313125,55.214123132706405,65.79528918623969,-56433992.75902101,59099800.0,1.9093581620653948,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,65.7040786743164,-0.005530230525773172,0.0
2014-11-18,88.0199966430664,88.18000030517578,87.48999786376953,87.94999694824219,65.58477783203125,6419400,0.6713333333333333,0.9166666666666666,0.5806451612903226,0.14285714285714285,88.81299896240235,86.22133331298828,85.32180038452148,81.55194995880127,88.26358839783865,86.79783928997871,85.71275216646734,81.99439250376109,-0.69000244140625,1.3561333652789542,14.439936266441682,54.55265944562137,63.61141935940344,1.0745723245500898,1.219445230500885,-40.130131482496935,55.33942376412144,-57498166.96185536,48484000.0,-0.7784323625422204,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,66.16641998291016,0.008868554108219184,1.0
2014-11-21,89.26000213623047,89.43000030517578,88.45999908447266,88.5999984741211,66.0694580078125,8984100,0.6713333333333333,0.9166666666666666,0.6774193548387096,0.5714285714285714,88.68999938964843,86.66366653442383,85.63000045776367,81.72764999389648,88.41222866888364,87.12411894034234,86.03908989691872,82.1896065982041,-0.529998779296875,23.40894418697619,17.536651731942374,59.812994377494014,59.831292120672714,0.9370484634126655,1.102485484504327,17.72954439133165,62.11452844328843,-61510244.49928413,58510900.0,-0.5946356957579179,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,65.7040786743164,-0.005530230525773172,0.0
2014-11-24,88.87999725341797,88.88999938964844,87.86000061035156,88.11000061035156,65.7040786743164,5569200,0.6713333333333333,0.9166666666666666,0.7741935483870968,0.0,88.55599975585938,86.82166646321615,85.71480041503906,81.77805000305176,88.3572781127869,87.18772420937519,86.12030208175923,82.2485159913598,-1.339996337890625,13.036814437211108,17.972835505998063,46.7236219369203,56.02240704021873,0.8508536843580998,1.0521591244750816,-67.08195610623784,54.6699787499775,-64375946.1496056,52941700.0,-1.49803955685541,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,66.2186050415039,0.007830965406849577,1.0
