Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-02,55.650001525878906,55.77000045776367,55.13999938964844,55.400001525878906,24.29384422302246,1295600,0.6713333333333333,0.08333333333333333,0.06451612903225806,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-226208.89973418266,1295600.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,24.16667938232422,-0.005234447028261258,0.0
2014-01-03,55.310001373291016,55.5099983215332,55.0099983215332,55.11000061035156,24.16667938232422,1224900,0.6713333333333333,0.08333333333333333,0.0967741935483871,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-961137.685439749,70700.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,23.47819900512696,-0.028488828204541017,0.0
2014-01-06,54.22999954223633,54.25,53.470001220703125,53.540000915527344,23.47819900512696,2495200,0.6713333333333333,0.08333333333333333,0.1935483870967742,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3008482.5267872196,-2424500.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,23.05722427368164,-0.01793045247437386,0.0
2014-01-08,52.709999084472656,52.7599983215332,52.369998931884766,52.43000030517578,22.99144744873047,2344800,0.6713333333333333,0.08333333333333333,0.25806451612903225,0.2857142857142857,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-5890695.946939761,-7973800.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,22.513463973999023,-0.02078962082736724,0.0
2014-01-09,51.880001068115234,51.90999984741211,51.04999923706055,51.34000015258789,22.513463973999023,2707300,0.6713333333333333,0.08333333333333333,0.2903225806451613,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-6772137.990196623,-10681100.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,22.77656364440918,0.011686325601160785,1.0
2014-01-10,51.90999984741211,52.06999969482422,51.63999938964844,51.93999862670898,22.77656364440918,1757000,0.6713333333333333,0.08333333333333333,0.3225806451612903,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-6077518.057974044,-8924100.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,22.60116004943848,-0.007701056125459682,0.0
2014-01-13,51.79999923706055,52.27000045776367,51.369998931884766,51.540000915527344,22.60116004943848,1651700,0.6713333333333333,0.08333333333333333,0.41935483870967744,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-7105236.279480424,-10575800.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,22.89059257507324,0.012806091590061852,1.0
2014-01-14,51.880001068115234,52.310001373291016,51.68000030517578,52.20000076293945,22.89059257507324,2157700,0.6713333333333333,0.08333333333333333,0.45161290322580644,0.14285714285714285,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-5701021.722499236,-8418100.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,23.23701858520508,0.015133990480835635,1.0
2014-01-15,52.56999969482422,53.220001220703125,52.56999969482422,52.9900016784668,23.23701858520508,2311300,0.6713333333333333,0.08333333333333333,0.4838709677419355,0.2857142857142857,52.90700073242188,-inf,-inf,-inf,52.90700073242188,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-5025403.858020441,-6106800.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,24.0701961517334,0.035855613897851635,1.0
2014-01-17,55.75,55.810001373291016,54.91999816894531,55.040000915527344,24.13597297668457,3215000,0.6713333333333333,0.08333333333333333,0.5483870967741935,0.5714285714285714,52.84900054931641,-inf,-inf,-inf,53.58981048331772,-inf,-inf,-inf,-0.06999969482421875,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-6208747.676914142,762900.0,-0.12701813472865464,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,23.36418533325196,-0.03197665344497025,0.0
2014-01-21,53.54999923706055,53.63999938964844,53.040000915527344,53.27999877929688,23.36418533325196,2338500,0.6713333333333333,0.08333333333333333,0.6774193548387096,0.14285714285714285,52.82300033569336,-inf,-inf,-inf,53.53348108258666,-inf,-inf,-inf,-0.26000213623046164,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-6676459.57117041,-1575600.0,-0.48562221102812386,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,23.618526458740234,0.010885940248312354,1.0
2014-01-22,53.83000183105469,54.040000915527344,53.4900016784668,53.86000061035156,23.618526458740234,2397100,0.6713333333333333,0.08333333333333333,0.7096774193548387,0.2857142857142857,52.95100021362305,-inf,-inf,-inf,53.592848269453,-inf,-inf,-inf,1.279998779296875,-inf,-inf,-inf,-inf,-inf,-inf,25.732541446473544,49.68524995549208,-5848375.316875402,821500.0,2.434383291597538,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,23.351030349731445,-0.01132569000339989,0.0
