Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-02,74.91000366210938,75.29000091552734,74.51000213623047,74.56999969482422,62.74510955810547,3067000,0.6713333333333333,0.08333333333333333,0.06451612903225806,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-2595172.307210767,3067000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,63.19108581542969,0.007107745296248469,1.0
2014-01-03,74.80000305175781,75.76000213623047,74.5999984741211,75.0999984741211,63.19108581542969,3206400,0.6713333333333333,0.08333333333333333,0.0967741935483871,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3037443.1025068657,6273400.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,62.46744918823242,-0.011451561843879077,0.0
2014-01-06,75.41999816894531,75.41999816894531,74.12000274658203,74.23999786376953,62.46744918823242,3424500,0.6713333333333333,0.08333333333333333,0.1935483870967742,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-5829751.21668996,2848900.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,64.37750244140625,0.03057677683329585,1.0
2014-01-07,74.94000244140625,77.33000183105469,74.94000244140625,76.51000213623047,64.37750244140625,6542500,0.6713333333333333,0.08333333333333333,0.22580645161290322,0.14285714285714285,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3776664.9183199056,9391400.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,63.62862014770508,-0.011632670813577661,0.0
2014-01-08,76.33000183105469,76.45999908447266,75.4800033569336,75.62000274658203,63.62862014770508,6172200,0.6713333333333333,0.08333333333333333,0.25806451612903225,0.2857142857142857,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-8185379.204034191,3219200.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,64.01566314697266,0.006082844455358449,1.0
2014-01-09,75.6500015258789,76.23999786376953,75.6500015258789,76.08000183105469,64.01566314697266,6291500,0.6713333333333333,0.08333333333333333,0.2903225806451613,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-5306154.756198883,9510700.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,62.8545150756836,-0.01813849945790913,0.0
2014-01-10,76.19999694824219,76.30000305175781,74.55000305175781,74.69999694824219,62.8545150756836,6632200,0.6713333333333333,0.08333333333333333,0.3225806451612903,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-10801452.447326116,2878500.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,62.21501922607422,-0.010174222947060496,0.0
2014-01-14,74.05000305175781,74.33999633789062,73.69000244140625,74.0199966430664,62.2823371887207,5783900,0.6713333333333333,0.08333333333333333,0.45161290322580644,0.14285714285714285,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-13893530.251624247,3413700.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,62.972312927246094,0.011078192785776597,1.0
2014-01-15,73.98999786376953,74.86000061035156,73.98999786376953,74.83999633789062,62.972312927246094,7043300,0.6713333333333333,0.08333333333333333,0.4838709677419355,0.2857142857142857,74.96199951171874,-inf,-inf,-inf,74.96199951171874,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-7174128.291665288,10457000.0,-inf,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,61.22216033935547,-0.02779241394408738,0.0
2014-01-17,73.12000274658203,73.12000274658203,72.30000305175781,72.5199966430664,61.02020263671875,5551300,0.6713333333333333,0.08333333333333333,0.5483870967741935,0.5714285714285714,74.5229995727539,-inf,-inf,-inf,74.19042913263493,-inf,-inf,-inf,-2.5800018310546875,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-14606390.000550942,-3987100.0,-3.435421948701819,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,61.55869674682617,0.008824849588149108,1.0
2014-01-23,72.69999694824219,73.69000244140625,72.48999786376953,73.19999694824219,61.59239196777344,5050300,0.6713333333333333,0.08333333333333333,0.7419354838709677,0.42857142857142855,73.86199951171875,-inf,-inf,-inf,73.76735010860347,-inf,-inf,-inf,-2.4200057983398438,-inf,-inf,-inf,-inf,-inf,-inf,-85.52523363518864,42.563834607110195,-14760166.637795817,2206600.0,-3.20021913573552,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,60.24609756469727,-0.021858128253576803,0.0
2014-01-28,71.6500015258789,72.36000061035156,71.47000122070312,71.70999908447266,60.33864212036133,2932700,0.6713333333333333,0.08333333333333333,0.9032258064516129,0.14285714285714285,72.8859992980957,-inf,-inf,-inf,72.8145139463155,-inf,-inf,-inf,-2.2300033569335938,-inf,-inf,7.550301277289179,11.43962865035237,-inf,-inf,-104.37352300085819,34.264616378836614,-20216351.52917143,3849300.0,-3.0159633260774634,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,59.96001815795898,-0.0062749831467384665,0.0
2014-01-29,71.38999938964844,72.95999908447266,70.83999633789062,71.26000213623047,59.96001815795898,6005100,0.6713333333333333,0.08333333333333333,0.9354838709677419,0.2857142857142857,72.60999984741211,-inf,-inf,-inf,72.53187543539094,-inf,-inf,-inf,-2.7599945068359375,-inf,-inf,8.881937199665808,9.05594659721375,-inf,-inf,-103.37916656107558,34.48319424982763,-23842042.517860506,-2155800.0,-3.7287147149505735,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,61.25579833984375,0.02161073698261995,1.0
2014-01-30,71.69999694824219,73.04000091552734,71.52999877929688,72.80000305175781,61.25579833984375,4254000,0.6713333333333333,0.08333333333333333,0.967741935483871,0.42857142857142855,72.40600051879883,-inf,-inf,-inf,72.580625911094,-inf,-inf,-inf,-2.0399932861328125,-inf,-inf,18.101399914462007,11.511212797138997,-inf,-inf,-46.81901259810336,32.5442188081445,-20940293.469007187,2098200.0,-2.7258062345735143,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,60.81827926635742,-0.00714249239001008,0.0
2014-01-31,71.87000274658203,72.3499984741211,71.44999694824219,72.27999877929688,60.81827926635742,4291500,0.6713333333333333,0.08333333333333333,1.0,0.5714285714285714,72.35800018310547,-inf,-inf,-inf,72.52596643258543,-inf,-inf,-inf,-0.48000335693359375,-inf,-inf,26.068443993816942,17.683927035981586,-inf,-inf,-67.90817618383576,33.65558983931784,-17316356.093514457,-2193300.0,-0.659707727928417,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,59.5224723815918,-0.021306207613841832,0.0
