Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-03,103.4800033569336,103.94000244140624,103.0500030517578,103.08999633789062,71.28465270996094,3719600,0.6713333333333333,0.08333333333333333,0.0967741935483871,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-4845442.98701471,-919900.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,70.35806274414062,-0.0129984496044383,0.0
2014-01-10,102.2699966430664,102.63999938964844,101.33000183105467,102.5199966430664,70.89051818847656,3499500,0.6713333333333333,0.08333333333333333,0.3225806451612903,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-4388787.755237477,1408100.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,69.30699157714844,-0.022337636284700313,0.0
2014-01-13,101.63999938964844,102.52999877929688,100.02999877929688,100.2300033569336,69.30699157714844,3510100,0.6713333333333333,0.08333333333333333,0.41935483870967744,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-7337258.90086736,-2102000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,69.79104614257812,0.006984209737207703,1.0
2014-01-15,101.22000122070312,101.44000244140624,100.70999908447266,101.0500030517578,69.87403106689453,2027700,0.6713333333333333,0.08333333333333333,0.4838709677419355,0.2857142857142857,101.90900039672852,-inf,-inf,-inf,101.90900039672852,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-4175254.20270621,3546000.0,-inf,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,69.48680877685547,-0.005541719636417586,0.0
2014-01-16,100.77999877929688,101.06999969482422,100.0999984741211,100.48999786376952,69.48680877685547,2603900,0.6713333333333333,0.08333333333333333,0.5161290322580645,0.42857142857142855,101.62600021362304,-inf,-inf,-inf,101.6509999361905,-inf,-inf,-inf,-2.8300018310547017,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-4685302.382665386,942100.0,-2.73906488522422,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,69.08573150634766,-0.005771991512745989,0.0
2014-01-17,97.51000213623048,100.30999755859376,97.0,99.91000366210938,69.08573150634766,10135500,0.6713333333333333,0.08333333333333333,0.5483870967741935,0.5714285714285714,101.30800094604493,-inf,-inf,-inf,101.33445515908483,-inf,-inf,-inf,-3.17999267578125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,3000565.515769055,-9193400.0,-3.084676291342972,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,68.15913391113281,-0.013412286082976621,0.0
2014-01-22,99.26000213623048,99.36000061035156,98.5,98.98999786376952,68.44957733154297,3234100,0.6713333333333333,0.08333333333333333,0.7096774193548387,0.2857142857142857,100.68100051879883,-inf,-inf,-inf,100.49694888756723,-inf,-inf,-inf,-3.0900039672851562,-inf,-inf,-inf,-inf,-inf,-inf,-122.11519300775899,28.71656082764122,1574647.9978708955,-11742500.0,-3.027041449704518,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,67.72352600097656,-0.010607097353570127,0.0
2014-01-23,98.38999938964844,98.54000091552734,97.61000061035156,97.94000244140624,67.72352600097656,4255100,0.6713333333333333,0.08333333333333333,0.7419354838709677,0.42857142857142855,100.27500076293946,-inf,-inf,-inf,100.03204953371977,-inf,-inf,-inf,-4.059997558593764,-inf,-inf,-inf,-inf,-inf,-inf,-144.7446109430489,26.551140917556204,339312.14957261225,-15997600.0,-3.98038976332722,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,66.6102294921875,-0.01643884443897692,0.0
2014-01-24,97.58000183105467,97.69000244140624,96.27999877929688,96.33000183105467,66.6102294921875,5251600,0.6713333333333333,0.08333333333333333,0.7741935483870968,0.5714285714285714,99.69600067138671,-inf,-inf,-inf,99.35894995141702,-inf,-inf,-inf,-5.790000915527372,-inf,-inf,13.12643983289054,-inf,-inf,-inf,-165.48035108473664,25.970290158397106,-4539812.184345253,-21249200.0,-5.669800979045864,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,65.8081283569336,-0.01204171103100582,0.0
2014-01-27,96.13999938964844,96.62000274658205,95.01000213623048,95.16999816894533,65.8081283569336,4973700,0.6713333333333333,0.08333333333333333,0.8709677419354839,0.0,98.96100082397462,-inf,-inf,-inf,98.59732235460397,-inf,-inf,-inf,-7.3499984741210795,-inf,-inf,5.417245851388124,-inf,-inf,-inf,-165.59550774398895,25.615217111660996,-8524975.580324896,-26222900.0,-7.169331559491591,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,66.25068664550781,0.0067249791116053,1.0
