Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-01-06,99.94000244140624,100.13999938964844,98.88999938964844,99.66000366210938,62.12712860107422,11848500,0.6713333333333333,0.08333333333333333,0.1935483870967742,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-5100529.293518643,13581000.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,63.006080627441406,0.0141476364055233,1.0
2014-01-08,101.19000244140624,101.19000244140624,100.1500015258789,100.73999786376952,62.80038070678711,11180400,0.6713333333333333,0.08333333333333333,0.25806451612903225,0.2857142857142857,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,5726918.841817851,13587600.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,62.1894645690918,-0.00972790500343712,0.0
2014-01-09,100.1999969482422,100.38999938964844,99.02999877929688,99.76000213623048,62.1894645690918,11674300,0.6713333333333333,0.08333333333333333,0.2903225806451613,0.42857142857142855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,6585375.261165333,1913300.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,62.66324234008789,0.007618296350979659,1.0
2014-01-10,99.98999786376952,100.62999725341795,99.12000274658205,100.5199966430664,62.66324234008789,10535400,0.6713333333333333,0.08333333333333333,0.3225806451612903,0.5714285714285714,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,15585802.219804939,12448700.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,61.43516540527344,-0.019598043269918874,0.0
2014-01-13,99.91000366210938,100.0999984741211,98.2699966430664,98.5500030517578,61.43516540527344,12110900,0.6713333333333333,0.08333333333333333,0.41935483870967744,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,7181051.096242035,337800.0,-inf,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,61.79049301147461,0.005783782038465413,1.0
2014-01-17,99.18000030517578,100.33999633789062,98.66999816894533,99.16000366210938,61.815425872802734,15998000,0.6713333333333333,0.08333333333333333,0.5483870967741935,0.5714285714285714,99.63000106811523,-inf,-inf,-inf,99.51955519747142,-inf,-inf,-inf,-0.34999847412110796,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,6891620.7464919705,25597000.0,-0.3517219039368078,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,61.40398788452149,-0.006655911246617574,0.0
2014-01-21,98.56999969482422,98.88999938964844,98.04000091552734,98.5,61.40398788452149,13847300,0.6713333333333333,0.08333333333333333,0.6774193548387096,0.14285714285714285,99.5140007019043,-inf,-inf,-inf,99.33418152520387,-inf,-inf,-inf,-1.160003662109375,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,8031983.704368661,11749700.0,-1.1639610871802597,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,61.01749038696289,-0.006294338704604385,0.0
2014-01-22,98.87999725341795,98.9499969482422,97.83999633789062,97.87999725341795,61.01749038696289,11642800,0.6713333333333333,0.08333333333333333,0.7096774193548387,0.2857142857142857,99.19500045776367,-inf,-inf,-inf,99.06978438487916,-inf,-inf,-inf,-3.190002441406264,-inf,-inf,-inf,-inf,-inf,-inf,-132.36358377913015,39.67436925810898,-2771676.830376153,106900.0,-3.1562307816744,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,60.450225830078125,-0.009296753329041674,0.0
2014-01-23,97.25,97.38999938964844,96.01000213623048,96.97000122070312,60.450225830078125,15393200,0.6713333333333333,0.08333333333333333,0.7419354838709677,0.42857142857142855,98.81800079345703,-inf,-inf,-inf,98.68800562775623,-inf,-inf,-inf,-3.769996643066392,-inf,-inf,-inf,-inf,-inf,-inf,-214.09508096319476,36.012210979712826,3251771.4571531415,-15286300.0,-3.742303675809633,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,59.12863159179688,-0.021862519455198792,0.0
2014-01-27,95.08000183105467,95.58000183105467,94.75,94.91999816894533,59.1722526550293,12474600,0.6713333333333333,0.08333333333333333,0.8709677419354839,0.0,97.76700057983399,-inf,-inf,-inf,97.43197014958042,-inf,-inf,-inf,-5.5999984741210795,-inf,-inf,7.174100974185774,-inf,-inf,-inf,-181.32466704568128,34.99215609477981,-18085214.106435556,-17396000.0,-5.571029308731431,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,59.62732696533203,0.007690670709391334,1.0
