Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,95.550003,97.720001,95.410004,96.260002,91.054794,72154500,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,99.29000099999999,100.10466723333334,99.77740056,87.39056443999999,98.91270288162787,99.57150027669027,98.92617684706765,87.39056444000002,-3.6400000000000006,9.087013655685427,25.615236694196025,23.293613719009727,31.778769420052985,-0.4905215711761173,-0.06607187839593354,-228.44134992867941,33.413142123428756,383715569.3581965,609508300.0,-3.6436435706978267,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,92.388535,0.014647674673779365,1.0
2014-10-17,97.5,99.0,96.809998,97.669998,92.388535,68179700,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,99.0950005,100.0613338,99.84120046,87.48382158,98.68675653951371,99.44882271045219,98.87691493149637,87.49284736099506,-1.9500049999999902,12.552969042898114,15.492583299252919,27.4537197723832,27.54039040995544,-0.5680921177488614,-0.1664759262665191,-104.4005945360987,40.753116319900336,369083347.3970296,677688000.0,-1.9574432255337217,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,94.365532,0.02139872658441866,1.0
2014-10-20,98.32,99.959999,98.220001,99.760002,94.365532,77517300,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,99.1090004,100.10800049999999,99.94160054,87.59620729,98.88189207778393,99.46889879364883,98.9115457969279,87.61490860118415,0.1399990000000031,40.65950954687215,20.766497415151907,37.731506462201715,29.492946651198224,-0.4556688124397823,-0.22431450350117174,-1.572714811108402,42.22708800563175,428780825.2499923,755205300.0,0.14053302126481876,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,96.92897,0.027164982231012047,1.0
2014-10-22,102.839996,104.110001,102.599998,102.989998,97.420868,68263100,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,99.7,100.3236672,100.21160054,87.849242985,100.16258869669834,99.87719440110163,99.20555992019372,87.91423566519379,2.189994999999996,94.77320717064072,69.80851986590613,81.35129404529086,60.93640323276003,0.1393859557125552,-0.13907814099298704,165.91184874780788,57.24738262542569,430925841.5349412,918092300.0,2.1726140226404516,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,99.161377,0.01786587448594701,1.0
2014-10-27,104.849998,105.480003,104.699997,105.110001,99.426224,34187700,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,101.0600006,100.67166730000001,100.66040059999999,88.27295727999999,102.38254539736519,100.81688903804735,99.86732387132302,88.42080425181517,5.300003000000004,99.43886572531808,99.81295524177271,97.15550404692512,94.69893811294101,1.050882210775839,0.33567112994469034,121.7995986188457,63.28116961921676,502317025.3314836,1002033200.0,5.31009228153677,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,100.968079,0.015507528476591759,1.0
2014-10-28,105.400002,106.739998,105.349998,106.739998,100.968079,48060900,0.6713333333333333,0.8333333333333334,0.9032258064516129,0.14285714285714285,101.8590004,100.8676672,100.81200048,88.42399297,103.17480950693515,101.19902510010883,100.13684050382017,88.60308478662299,7.989998,99.43886572531808,99.6259104835454,97.89849943068207,96.41913452416162,1.3476931369487488,0.5380755313455021,125.94537482799039,63.03548474141732,550377925.3314841,1050094100.0,8.091137215189875,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,101.535629,0.0056210834713414926,1.0
2014-10-30,106.959999,107.349998,105.900002,106.980003,101.195114,40654800,0.6713333333333333,0.8333333333333334,0.967741935483871,0.42857142857142855,103.91100000000002,101.23266706666666,101.07640047999999,88.70720010000001,104.48627738894004,101.94262233422636,100.67659898641762,88.97052152790914,10.720000999999996,98.22450448555178,99.034078645396,98.85149877868503,98.47979114289735,1.7733052764351953,0.9570681268438934,93.81852262616907,63.77955386768222,619842183.1923578,1062127200.0,11.136506105620066,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,102.15995,0.009534412896654132,1.0
2014-10-31,108.010002,108.040001,107.209999,108.0,102.15995,44639300,0.6713333333333333,0.8333333333333334,1.0,0.5714285714285714,104.9440002,101.46733376666666,101.22480044,88.85130723,105.12513604549639,102.33342089330853,100.96379118302869,89.15986957240757,10.330001999999993,98.22450448555178,98.6292915654739,98.74781553117464,98.7628965097282,1.9602613338586963,1.157706768246854,98.07396723567012,69.52674072965375,660178802.8631533,1106766500.0,10.576433102824463,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,103.484245,0.012962956618518318,1.0
2014-11-03,108.220001,110.300003,108.010002,109.400002,103.484245,52282600,0.6713333333333333,0.9166666666666666,0.0967741935483871,0.0,105.90800019999999,101.7453339,101.38640048,89.01211438499999,105.90238440086067,102.78932935180477,101.29462297977267,89.36126392492093,9.64,98.22450448555178,98.22450448555178,96.84574031178836,98.14835154054936,2.1960787881493786,1.365381172227359,111.73938910292739,76.38758076349504,671365881.6973549,1159049100.0,9.663191466255183,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,102.727509,-0.007312572073169266,0.0
2014-11-10,109.019997,109.330002,108.669998,108.830002,103.391457,27195500,0.6713333333333333,0.9166666666666666,0.3225806451612903,0.0,108.24599989999999,103.10800046666667,102.08020054,89.76545011,107.75179821270541,104.4959492039624,102.6561532205763,90.30936927414434,3.7200009999999963,73.32385437688214,80.20205010020925,84.45943128748938,86.64846164305197,2.3519224808354267,2.0333990007441614,77.90976092717831,76.92029073218329,701574018.1225308,1126438100.0,3.5391503801812316,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,104.217972,0.007994035716123005,1.0
