Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,55.799999,55.900002,52.84,52.900002,47.907223,61236700,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,55.846000700000005,57.2396666,56.18839994,53.06745001,55.28389707009512,56.342281977719686,56.13312464269976,53.06745001,-3.769995999999999,9.548610945263405,7.435383585044139,21.681578914979166,15.209856082460222,-0.7563145428073668,-0.1435630146348688,-112.96675902432219,46.415677864328046,87578753.79862143,112039900.0,-6.652543026382317,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,48.332859,0.008884589282079691,1.0
2014-10-17,53.779999,53.900002,52.900002,53.369999,48.332859,31891900,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,55.314000699999994,57.15399993333334,56.20719992,53.074400005,54.935915602805096,56.150521785608746,56.024766774358596,53.07046044771145,-5.32,10.03986534752098,9.712362412682578,22.272792999584038,20.60691699052742,-0.8750646624764897,-0.28986334420319304,-109.15728562696111,43.24554214125678,85665048.44722138,143931800.0,-9.064576743305107,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,49.274712,0.01948680503257627,1.0
2014-10-20,52.560001,54.59,52.25,54.41,49.274712,17954600,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,54.9740006,57.11533326666666,56.23899992,53.08495001,54.84029458411325,56.038230057504954,55.96144258712885,53.08378919947552,-3.400001000000003,15.234209472964684,11.607561921916338,21.645008901634117,21.86646027206577,-0.8751672159212305,-0.40692411854680055,-80.98851641086516,47.29536664139619,100857402.29337513,161886400.0,-5.8813370371676745,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,50.977276,0.034552490129216906,1.0
2014-10-21,55.299999,56.450001,55.02,56.290001,50.977276,17522100,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,54.9380005,57.09333326666667,56.29859992000001,53.11445002000001,55.103877568819925,56.05447334411754,55.97432723077086,53.115691804455864,-0.360001000000004,38.955825584848824,21.409966801778143,37.95091804460056,27.289573315272904,-0.7153025587520503,-0.46859980658785055,8.965362270961176,51.14562071468971,114458475.66472241,179408500.0,-0.6354827666202095,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,51.529701,0.010836691234737517,1.0
2014-10-22,56.959999,57.450001,56.259998,56.900002,51.529701,16048100,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,54.79400069999999,57.0836667,56.37979996,53.146500020000005,55.4304456472163,56.10902357998093,56.01062820211318,53.15334663227223,-1.4399980000000028,62.5072228257907,38.899085961201386,54.93024700381236,38.175391316682344,-0.5332398266821556,-0.48152781060671157,48.58352675632092,54.627933697326284,115672261.88248813,195456600.0,-2.4682859101816983,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,53.90242,0.046045658211756324,1.0
2014-10-23,58.099998,59.700001,57.880001,59.52,53.90242,14729300,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,55.0740006,57.139333433333334,56.4982,53.192300014999994,56.174000984086064,56.32908657482088,56.148250625559726,53.216696417025744,2.7999989999999997,84.30652995302258,61.92319278788735,76.17473079759874,56.35196528200388,-0.1755185884315864,-0.42032596617168655,132.25498158155037,55.05751307225383,127488057.78435625,210185900.0,4.936528474320724,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,54.599754,0.012936970176849139,1.0
2014-10-27,60.349998,60.98,60.209999,60.490002,54.780872,10010900,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,56.293000899999996,57.305000166666666,56.75200003999999,53.285600015,57.57102596455347,56.83658896089944,56.47456749479773,53.3587484471334,6.870002999999997,100.0,92.74159237583143,96.90453342903675,87.25399098856741,0.4514834926630087,-0.15180437869675661,141.4962048536599,60.3252046923604,132818674.13666622,230588400.0,12.812389272890506,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,55.179344,0.007273925833090056,1.0
2014-10-28,60.759998,61.130001,60.439999,60.93,55.179344,9412500,0.6713333333333333,0.8333333333333334,0.9032258064516129,0.14285714285714285,56.9730008,57.3826669,56.88440002,53.341100005,58.181748516452835,57.100679995680125,56.649290338139004,53.43408428348033,6.799999,100.0,97.97274905815725,96.9548505427788,94.18069757029411,0.7034055274515438,0.019237602532903464,127.10397307570958,60.2136369221413,136774640.93096545,240000900.0,12.562347818910997,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,54.319,-0.01559177651695165,0.0
2014-10-29,60.990002,60.990002,59.360001,59.98,54.319,16547900,0.6713333333333333,0.8333333333333334,0.9354838709677419,0.2857142857142857,57.508000700000004,57.39466693333333,56.97820000000001,53.38800001500001,58.508703331643225,57.28644257660399,56.77990640331002,53.499217773196946,5.349998999999997,94.6797101980563,98.22657006601874,93.20749749159175,95.68896048780243,0.8169808478419895,0.1787862515947207,91.83133011817831,59.29903339398708,132815299.40681922,223453000.0,9.793151934959688,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,55.405746,0.020006737973821354,1.0
2014-10-30,60.0,61.43,59.91,61.18,55.405746,11635300,0.6713333333333333,0.8333333333333334,0.967741935483871,0.42857142857142855,58.3360005,57.45233356666667,57.10059998,53.443350009999996,58.99439363498082,57.53763982972632,56.9524590933763,53.57564346699598,8.279997999999999,93.4040722566927,96.0279274849163,94.1492180930422,94.77052204247093,0.9923805336425602,0.34150510800428857,92.24291872079179,62.63875910709416,140623198.0910297,235088300.0,15.652169540560697,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,57.470551,0.037266983103160456,1.0
