Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,128.149994,130.880005,127.669998,130.449997,121.567596,7906000,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,135.49399879999999,138.40400086666665,136.34480073999998,123.389000145,134.61980524156127,136.37713681824454,134.81118000063415,123.38900014500001,-6.75,0.0,2.141588369366075,13.379185883287269,9.938896455904947,-1.314759801402971,-0.05626925769910304,-172.39620999205096,28.040301849590357,31309986.578648232,10273700.0,-4.91982518046265,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,124.58696,0.024836914600170346,1.0
2014-10-17,131.25,139.850006,129.5,133.690002,124.58696,7351500,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,134.9479996,138.26433409999999,136.50360078,123.47845014,134.45075010673193,136.2037732815836,134.7672122359034,123.49149767589554,-5.459992,13.716785473225622,4.572261824408544,26.994441305769694,15.743708590266872,-1.3343256615572159,-0.31188053847072567,-48.3954579454043,37.624185617190406,29910714.95474771,17625200.0,-3.923817632360085,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,128.146851,0.02857354413335056,1.0
2014-10-20,133.279999,137.550003,133.009995,137.509995,128.146851,6623800,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,134.93799900000002,138.20566713333335,136.71480074,123.59365011,135.00697645096247,136.2880456505137,134.87477234429934,123.63098521145878,-0.10000600000000759,43.366264866318936,19.027683446514857,46.107007323054226,28.826878170703726,-1.0297202624010708,-0.45544848325679477,-0.33826464570168724,41.35369453600835,36417772.8739408,24249000.0,-0.07267349703747737,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,134.278809,0.04785102366659011,1.0
2014-10-22,143.809998,144.410004,141.669998,143.639999,133.859482,5222100,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,136.10099789999998,138.5773336,137.39660064,123.88275007,137.92780990518975,137.2332425578377,135.5657162263217,124.03162652817949,3.569991999999985,95.12593655595767,71.73059987397629,85.60638923800741,67.2910237916842,0.3199859225075272,-0.2681993232034607,143.54033900474388,57.21696881627359,44700544.878660575,27978300.0,2.5487197983790955,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,137.223648,0.025132070957812225,1.0
2014-10-24,146.850006,147.5,145.520004,147.259995,137.232971,5318400,0.6713333333333333,0.8333333333333334,0.7741935483870968,0.5714285714285714,138.05499730000003,139.1659999,138.1028006,124.18145006499999,141.01134291173858,138.4846791687217,136.46455369065686,124.49148437247682,9.869996000000015,98.80979049619769,97.58183918278435,93.65718742151022,90.57832189707892,1.6185077842177122,0.3207517394338395,141.03064460760655,56.246335056783906,50548908.41656346,38007400.0,7.183926102219431,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,138.109009,0.006383582557576428,1.0
2014-10-27,146.699997,148.470001,146.110001,148.199997,138.109009,4172500,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,139.5189972,139.50699976666667,138.41080048,124.33250006,142.3183709277861,139.11147386751384,136.92476715376836,124.72738997076064,14.639998999999989,100.0,99.20652699746513,96.68502986826395,94.27120210716443,2.117044561061391,0.6800103037593499,124.53405934380085,60.67202753614673,53766669.69622442,42179900.0,10.961365093761074,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,146.486862,0.06066116222729545,1.0
2014-10-28,151.75,157.25,151.470001,157.190002,146.486862,11623200,0.6713333333333333,0.8333333333333334,0.9032258064516129,0.14285714285714285,142.01799769999997,140.1023331,138.8902005,124.53645005999999,145.0223038500068,140.27783052122265,137.71948224577744,125.0504010357282,24.990004999999996,100.0,99.60326349873257,98.06669253753263,96.13630327576892,3.200661584958141,1.1841405599991082,167.42454020134048,64.92860765309064,65148565.587486595,53803100.0,18.90318121565464,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,148.061798,0.01075138055725433,1.0
2014-10-29,157.910004,159.720001,156.910004,158.880005,148.061798,7069800,0.6713333333333333,0.8333333333333334,0.9354838709677419,0.2857142857142857,144.81599880000002,140.70799970000002,139.40740051999998,124.74225008000002,147.54188587727828,141.47797081017603,138.54930666751167,125.38701401049707,27.98001100000002,100.0,100.0,98.62605964715249,97.79259401764968,4.147989559977447,1.776910359994776,155.45413313737924,69.93557289372899,67991596.86082968,60872900.0,21.375104875864256,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,150.577957,0.016993978419740596,1.0
2014-11-03,162.080002,162.410004,159.649994,161.559998,150.559311,5823800,0.6713333333333333,0.9166666666666666,0.0967741935483871,0.0,153.18299869999998,142.61166640000002,141.1532004,125.38540003,153.9768243865784,145.15799191109343,141.17575641600953,126.46239885211985,24.050003000000004,98.77313024074112,99.59104341358038,94.98828411627376,96.98232729103283,6.197749296091899,3.718671155271422,103.3149659544253,74.98064222647716,69872747.19775467,66884700.0,17.489639934900737,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,149.487579,-0.00711833756996938,0.0
2014-11-04,160.690002,161.990005,159.169998,160.410004,149.487579,3719000,0.6713333333333333,0.9166666666666666,0.12903225806451613,0.14285714285714285,154.8149995,143.26933343333334,141.66560062,125.59120005000001,155.14649340720047,146.1419926910229,141.93004063498955,126.80018596801916,16.320007999999973,95.24061149564973,98.00458057879695,91.16640701277163,94.35154352772578,6.376980750297548,4.250333074276647,83.06106351053201,75.0667452727126,69424364.8338102,63165700.0,11.326260290825445,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,148.117676,-0.009163992146799194,0.0
2014-11-05,161.309998,161.309998,158.809998,158.940002,148.117676,4062900,0.6713333333333333,0.9166666666666666,0.16129032258064516,0.2857142857142857,156.3449998,143.826,142.09900058000002,125.764050045,155.8362222422549,146.9676707109569,142.59709794342135,127.11998513251649,15.300003000000004,87.18991964690967,93.73455379443351,87.9779549446298,91.37754869122506,6.3274669921931945,4.665759857859957,66.0002303334848,77.23571027129486,65784019.43509015,59102800.0,10.651631235391477,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,149.431702,0.008871500252272568,1.0
