Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,118.910004,121.300003,118.389999,120.290001,110.347458,4492500,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,122.84000090000002,125.89333413333333,125.53160088,128.54915039,122.46224059474991,124.71194567068706,125.4216346013842,128.54915039,-3.879997000000003,16.95157540434976,13.453546914795245,27.082533058641886,17.604436733521098,-1.610250336728896,-0.9513327439269968,-118.32615151249144,36.64635205975374,-36721422.01185191,-100192100.0,-3.1247459631915295,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,113.053619,0.02452399945633532,1.0
2014-10-17,122.050003,123.870003,121.779999,123.239998,113.053619,4872400,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,122.52800060000001,125.84500066666666,125.59960092,128.48200039,122.6036510320681,124.61698130483629,125.33608022485933,128.49632300303483,-3.120002999999997,32.173597281419305,20.798736595549528,37.43155704054351,27.4207154037,-1.4620392575525756,-1.0534740466521126,-19.13115540271616,37.96102463467784,-34786467.45406158,-95319700.0,-2.4691381570976696,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,114.035194,0.008682384594870918,1.0
2014-10-20,123.389999,124.720001,123.0,124.309998,114.035194,3676300,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,122.33300019999999,125.72266716666667,125.67320093999999,128.415450405,122.91389593532844,124.59717593033072,125.2958417062374,128.45466802788025,-1.950004000000007,62.37392175302957,37.166364812932876,51.76877348433815,38.760954527841186,-1.2439019247784984,-1.0915596222773898,30.787869597776627,44.54655512947209,-32862833.91053459,-91643400.0,-1.5444352677897208,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,116.612915,0.02260460924019636,1.0
2014-10-21,125.209999,127.239998,124.93,127.120003,116.612915,5204500,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,122.71300049999999,125.6863337,125.79960094,128.3590004,123.67864267435962,124.75993896708358,125.3673774432477,128.44138777884663,3.800003000000004,92.02671678289266,62.19141193911384,74.71815497879712,54.639495167892925,-0.8346611435477769,-1.0401799265314673,119.78810975769922,53.64501348216649,-28199039.12110192,-86438900.0,3.081416639636721,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,111.411575,-0.04460346437613705,0.0
2014-10-27,122.129997,122.230003,121.260002,122.120003,112.026192,2940300,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,122.52800000000002,124.97700043333334,125.76200069999999,127.97140037999999,122.7586429929973,124.10857747833765,124.86513366085146,128.1873552895648,1.6700060000000008,48.264583792378595,52.20189993736424,49.74315068493154,53.82576453208437,-0.9973226850667203,-1.0105040129447846,-31.806682871562156,39.7231490034135,-37833182.48403057,-91410600.0,1.3864724297170392,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,113.393044,0.012201182380634723,1.0
2014-10-29,124.480003,124.480003,122.559998,123.080002,112.906845,3241700,0.6713333333333333,0.8333333333333334,0.9354838709677419,0.2857142857142857,122.949,124.6973338,125.68460066,127.80130043499999,122.94372020192381,124.01212678593338,124.74783783994785,128.09144323219863,2.8899999999999864,58.309472433852676,53.756738426885114,56.649560502283094,53.54833333333335,-0.7972598821764194,-0.944891454054292,49.11822432283081,45.449962966045575,-35978115.75660667,-90493300.0,2.40452612689031,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,113.585686,0.006012398982541578,1.0
2014-10-30,122.519997,124.120003,122.010002,123.82,113.585686,2569900,0.6713333333333333,0.8333333333333334,0.967741935483871,0.42857142857142855,123.30199989999998,124.53866706666666,125.61400069999999,127.71730045999999,123.10304380157402,123.99973150942155,124.71145204230284,128.04894130949017,3.5299989999999895,65.42241681003041,59.476016099435725,61.50115011415522,57.46766647640791,-0.6745185606704496,-0.8908168753775235,40.35159532862158,46.46485505274577,-34138999.96922078,-87923400.0,2.9345739219006153,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,114.585602,0.008803186697309728,1.0
2014-10-31,125.029999,125.889999,124.730003,124.910004,114.585602,4665300,0.6713333333333333,0.8333333333333334,1.0,0.5714285714285714,123.46900049999999,124.390667,125.56220078,127.64080044500001,123.43158201946964,124.05845876687823,124.71923839358509,128.0177081024306,1.6700060000000008,70.35812467441436,64.69667130609915,65.21120433789953,61.12063831811262,-0.48371500039456805,-0.8093965003809325,116.0025510390092,52.388413886840056,-37356435.20882503,-83258100.0,1.3550844101766382,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,115.612999,0.008966196294016182,1.0
2014-11-04,125.940002,126.709999,125.260002,125.839996,115.438721,3684600,0.6713333333333333,0.9166666666666666,0.12903225806451613,0.14285714285714285,123.5129999,124.25333356666667,125.48380066000001,127.48950039500001,124.25601683947967,124.29238659411509,124.81257626951088,127.976457923278,-1.2800069999999977,89.71017926222395,80.72818209252813,78.06716056787485,72.30283681790654,-0.060357631519963206,-0.5683842112479828,116.19262481948556,60.87245548449358,-35453322.649613366,-83040000.0,-1.0069280756703551,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,114.617531,-0.007113644303110456,0.0
2014-11-10,124.870003,124.989998,123.800003,124.639999,115.005058,2622700,0.6713333333333333,0.9166666666666666,0.3225806451612903,0.0,124.5180001,123.74366663333332,125.2274005,127.18050045,124.39053495729975,124.33674113413593,124.76311794522569,127.8391199367109,2.519996000000006,58.97588171250572,59.994933777353985,50.38425060972606,52.22563447556991,0.040273903074009354,-0.22949731309236213,35.57074799167164,42.53177949845322,-36666489.471575946,-83776100.0,2.0635407288681495,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,115.669395,0.005776589408789112,1.0
2014-11-12,124.510002,126.190002,124.470001,125.870003,116.139969,3075000,0.6713333333333333,0.9166666666666666,0.3870967741935484,0.2857142857142857,124.9720002,123.7163336,125.22360048,127.102300495,124.80374723587833,124.49741887389006,124.82901445232099,127.79510433448895,2.7900010000000037,81.22951090221314,69.04776272926429,70.75948971454194,59.996633667148274,0.22396751725230502,-0.08268725515349676,79.21383412128255,70.08289980870502,-33447477.232100118,-77647600.0,2.266819105186563,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,118.594353,0.021132983081819212,1.0
2014-11-17,128.699997,129.169998,127.550003,128.419998,118.492851,3752900,0.6713333333333333,0.9166666666666666,0.5483870967741935,0.0,126.07699970000002,124.01700016666668,125.37720036,127.15700046999999,126.51819029823838,125.24146638875182,125.2556926905422,127.81898032454265,2.389998999999989,95.88237388139562,96.11249232073475,88.38252223588243,87.49939230635569,0.912217703345874,0.3278118877249241,148.13484744297799,71.27706651327219,-28617605.380365726,-69351000.0,1.8963731008202174,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,120.559692,0.017442748508093464,1.0
2014-11-18,128.550003,131.330002,128.039993,130.660004,120.559692,5701200,0.6713333333333333,0.9166666666666666,0.5806451612903226,0.14285714285714285,126.5590005,124.26166696666665,125.4262003,127.20010048500001,127.27124733492231,125.59104946044525,125.46762646738368,127.84724921683578,4.820007999999987,95.88237388139562,96.9996268015326,87.8477542731227,88.43653935995549,1.1983030771131382,0.501910125602567,170.61050928656437,72.73546645245189,-25238461.39759858,-63649800.0,3.8302671274719264,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,121.436272,0.007270921030554822,1.0
