Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,15.61,16.25,15.52,16.08,15.418352,148199400,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,16.6410002,16.7250001,16.3280001,16.118450055,16.4687778625946,16.55806621466134,16.394662706000243,16.118450054999997,-0.7999990000000032,11.278068752822328,6.522646938420326,21.577654669114708,14.547001241385322,-0.06232718526007375,0.09572769009629874,-153.53881808159338,39.7761368052378,-487779809.10308194,-304238300.0,-4.739330849486444,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,15.543001,0.008084456756467961,1.0
2014-10-20,16.200001,16.33,16.16,16.26,15.590945,76510700,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,16.429999900000002,16.7283334,16.371000079999998,16.11825005,16.392322222067456,16.517828957887815,16.382424090390842,16.12076038291267,-1.0300009999999986,27.80867363574067,18.678389355528452,38.04712121212122,29.75146289194957,-0.09338040105777878,0.029389249239708787,-67.95284063095562,39.95065633027556,-530882195.58138424,-133388400.0,-5.9572061331864505,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,15.916957,0.020910342509706803,1.0
2014-10-21,16.43,16.610001,16.309999,16.6,15.916957,78287300,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,16.402,16.743666766666667,16.398600079999998,16.11795005,16.43008181805519,16.523130315443442,16.390956479002966,16.125528936316524,-0.2799990000000001,38.204608646006896,27.653902653256637,46.80132996633002,38.159354657688006,-0.07371634001814797,0.008768131388137436,-17.343541024057757,45.41358432770993,-457814536.0324474,-55101100.0,-1.6587619466091206,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,15.725182,-0.012048471325266541,0.0
2014-10-22,16.59,16.700001,16.370001,16.4,15.725182,85199800,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,16.3299999,16.745000066666666,16.42240008,16.11745005,16.424612396590607,16.51518642412451,16.391311126885203,16.128259991676558,-0.7200009999999999,42.256557936896165,36.08994673954792,50.00000000000003,44.949483726150426,-0.07342436809230435,-0.007670368507950921,-16.614726530402923,46.47447106043316,-527523979.66759986,-140300900.0,-4.2056130721020395,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,15.916957,0.0121954073409134,1.0
2014-10-23,16.58,16.73,16.52,16.6,15.916957,68436600,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,16.330999900000002,16.746000066666667,16.44940008,16.11755005,16.45650105175595,16.520658267729385,16.399495004262253,16.132953922107635,0.010000000000001563,49.02207298953952,43.161079857480864,55.72390572390575,50.8417452300786,-0.05640445426901053,-0.017417185660162843,19.8996539281812,44.763969542027866,-543818408.2390274,-71864300.0,0.06027727546715831,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,16.032019,0.0072288943169223074,1.0
2014-10-24,16.629999,16.719999,16.559999,16.719999,16.032019,41951400,0.6713333333333333,0.8333333333333334,0.7741935483870968,0.5714285714285714,16.354999799999998,16.743666666666666,16.47740006,16.117000045,16.504409769618505,16.533518960133943,16.41206378840883,16.13879516666378,0.23999900000000096,57.31805729018717,49.53222940554096,60.32068877999476,55.34819816796685,-0.03285440834741138,-0.02050463019761255,50.38378894493391,43.72209348918389,-501867008.23902833,-29912900.0,1.4563046116504912,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,15.907365,-0.007775315136540062,0.0
2014-10-27,16.68,16.690001,16.5,16.59,15.907365,51500000,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,16.3739998,16.738666666666667,16.50480006,16.116100045,16.519971629687866,16.53716289818982,16.419041679059465,16.143284766995485,0.19000000000000128,65.83225328785119,57.390794522525965,66.87039332990764,60.97166261126938,-0.024399399054448878,-0.02128358396897982,40.49006817899907,45.04973653401897,-504577791.3401687,-81412900.0,1.1585365853658616,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,16.108725,0.012658287529078383,1.0
2014-10-28,16.620001,16.799999,16.610001,16.799999,16.108725,71850800,0.6713333333333333,0.8333333333333334,0.9032258064516129,0.14285714285714285,16.401999699999998,16.741666666666667,16.53180004,16.117950039999997,16.570885697017346,16.554120066048544,16.433981181841446,16.14981923697563,0.2799990000000001,81.53982361082284,68.23004472962042,74.35592729414604,67.18233646801615,-0.0007449912146100246,-0.01717586541810586,92.91562273639715,43.78371573195604,-432726991.3401674,-9562100.0,1.6949092009685236,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,16.290903,0.011309274942616465,1.0
2014-10-30,16.959999,17.120001,16.84,17.030001,16.32926,72579100,0.6713333333333333,0.8333333333333334,0.967741935483871,0.42857142857142855,16.6199998,16.74866666666667,16.59280006,16.118450045000003,16.716708788912435,16.611129071328644,16.4783040828917,16.16685408790555,0.9500010000000003,99.99999999999999,90.19597617415404,91.4450926316534,82.85586566087001,0.06216986508372102,0.006713887846357474,143.57452744957726,60.14405008539414,-326260735.850223,162892700.0,5.90796641791045,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,16.453913,0.00763372008284513,1.0
2014-10-31,17.17,17.219999,17.1,17.16,16.453913,82788900,0.6713333333333333,0.8333333333333334,1.0,0.5714285714285714,16.714999900000002,16.755666633333334,16.61280006,16.118850045,16.797307190928354,16.64654009898486,16.505037256111635,16.17673613678211,0.9500010000000003,99.99999999999999,96.34936830387976,96.47862186580814,90.23009718475737,0.09472242879988713,0.024315596037063403,150.0568657759504,67.18117249874447,-326260045.9369755,245681600.0,5.860586419530318,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,16.559385,0.00641014693586861,1.0
