Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,70.184875,70.312042,69.372986,69.597969,60.779541,34900,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,71.7206299,72.26287159999998,72.44311848,74.17796860499999,71.38151615072205,72.10357896436362,72.63313161795796,74.177968605,-2.3965529999999973,1.1356028277525605,6.984405401656834,10.903495071654163,16.65584360753502,-0.4914050681861255,-0.30548060313033143,-249.74625166348494,40.496891762518395,-1818886.3997374878,-489400.0,-3.328799099464814,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,61.215199,0.007167839586021074,1.0
2014-10-21,70.253349,70.840263,70.194656,70.537025,61.599609,58200,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,71.1014381,71.96289423333334,72.27643544,74.01961822999999,70.90669405099652,71.77872271054562,72.3701889969102,74.06346650457307,-1.8487709999999993,27.902989980743754,16.671872658417453,21.88932777710124,16.163729195025727,-0.6079274486233288,-0.4474553839270873,-77.95164592237113,46.52195989811075,-1814417.7236647266,-359500.0,-2.5540521789661597,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,60.993099,-0.009846004054993251,0.0
2014-10-23,70.409859,70.664192,69.832733,70.214226,61.317719,28100,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,70.60354149999999,71.73334686666666,72.13714192,73.91043590999999,70.62248299281583,71.5609298892496,72.19040415439501,73.98358398236674,-1.6824799999999982,29.951550945560047,28.470214025972222,19.43163492310636,20.404459736567105,-0.6604767515304246,-0.5237826350312782,-71.14034822613576,49.01998309879382,-1837296.850018199,-355300.0,-2.3401350264920318,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,61.787544,0.0076621408568704474,1.0
2014-10-24,70.42942,70.791351,69.989243,70.752228,61.787544,32400,0.6713333333333333,0.8333333333333334,0.7741935483870968,0.5714285714285714,70.5448509,71.65737436666667,72.08295048,73.86426892,70.64607299412204,71.50875557381416,72.13400508951678,73.9514311865223,-0.586905999999999,35.75874260606645,31.088798234413122,22.22079977341909,20.514950402006388,-0.6117973935905923,-0.5413855867431411,-43.64414659407864,45.02850218829288,-1808057.4847456925,-322900.0,-0.8226985205623593,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,60.993099,-0.012857688598206685,0.0
2014-10-27,70.312042,70.312042,69.294731,69.842514,60.993099,29600,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,70.3531265,71.56901146666665,72.0093909,73.83129075,70.49997135882711,71.40125611743905,72.04414269384947,73.9105464383977,-1.9172440000000108,39.23546294148645,34.98191883103765,23.17761299537351,21.61001589729967,-0.6392560231979445,-0.5609596740341017,-87.86230440096887,48.14320068556731,-1805780.552716058,-352500.0,-2.671753714665552,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,61.642319,0.010644155005142375,1.0
2014-10-28,70.184875,70.77179,69.920769,70.58593,61.642319,77100,0.6713333333333333,0.8333333333333334,0.9032258064516129,0.14285714285714285,70.2817184,71.49825596666666,71.94698246,73.79825269,70.51560020267672,71.34865443244298,71.98695788232597,73.87746567781664,-0.7140809999999931,60.87704679139083,45.290417446314585,28.000903442349227,24.466438737047287,-0.5941803851615504,-0.5676038162595916,-28.9370056086112,51.39877833171308,-1762357.2915979424,-275400.0,-1.0015159745206674,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,62.146328,0.008176347161760633,1.0
2014-10-29,70.918518,71.378265,70.576149,71.163063,62.146328,44100,0.6713333333333333,0.8333333333333334,0.9354838709677419,0.2857142857142857,70.290522,71.45749819999999,71.91294162,73.76647477499999,70.63332071128094,71.33668079164022,71.9546482790975,73.85045669594783,0.08803599999998823,76.00778192609631,58.70676388632453,36.609592618562125,29.262703018761638,-0.5060543281796441,-0.5552939186436021,50.828870165253896,57.61478101165374,-1741920.7223236726,-231300.0,0.12386347739268284,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,62.787018,0.010309378214590659,1.0
2014-10-30,71.114151,72.023865,71.114151,71.896706,62.787018,36500,0.6713333333333333,0.8333333333333334,0.967741935483871,0.42857142857142855,70.5203957,71.41478403333333,71.89533435999999,73.73042867,70.86302712741168,71.37281145024407,71.95237603285838,73.83101639051552,2.2987369999999885,99.60623920125421,78.83035597291378,60.568346384443316,41.72628081511824,-0.3727184678299551,-0.5187788284808728,120.80185949091555,64.561466282098,-1715624.596288457,-194800.0,3.3028794274154585,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,63.21413,0.006802552718780053,1.0
2014-11-03,72.287979,72.552086,71.701065,72.434708,63.256851,49700,0.6713333333333333,0.9166666666666666,0.0967741935483871,0.0,70.96547100000001,71.45880233333332,71.90179035999999,73.674037835,71.375314886945,71.50245837008872,71.98762132983198,73.80288555988231,2.161797000000007,100.0,99.86874640041806,93.65100015171576,78.758600563739,-0.10278220298137342,-0.38857326198794306,152.79612821381528,60.904860265821355,-1644879.4377348144,-104300.0,3.0762878173639443,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,63.786488,0.008372800599890873,1.0
2014-11-06,73.207474,73.217255,72.747726,72.914017,63.67543,62000,0.6713333333333333,0.9166666666666666,0.1935483870967742,0.42857142857142855,71.8047548,71.5549907,71.98317556,73.62937887,72.10419692455515,71.7726806841695,72.10141718665824,73.77901198385649,2.6997910000000047,98.19743207608246,99.35821084762979,90.21625854176163,94.27657638475215,0.23215461198934406,-0.12226248035837761,107.68657739526816,69.2184843425038,-1660287.7297270172,-237600.0,3.8450769221610517,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,64.546753,0.013683818075511889,1.0
2014-11-10,74.273697,74.381294,73.745476,74.078056,64.691978,152500,0.6713333333333333,0.9166666666666666,0.3225806451612903,0.0,72.5442628,71.69356693333334,72.07512502,73.62775171,72.73197496602452,72.05051649884136,72.24714242413165,73.78329533805355,4.2355420000000095,98.32023160927554,98.23836525381348,90.65544092920499,89.70680398721322,0.4861278600120613,0.07809456905184249,125.57598408261698,78.95553068991195,-1616768.614643233,-26000.0,6.064418013360759,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,64.230682,-0.007130652273455107,0.0
2014-11-20,73.050964,73.862862,73.050964,73.65744,64.324661,27400,0.6713333333333333,0.9166666666666666,0.6451612903225806,0.42857142857142855,73.5361426,71.98147963333334,72.10818760000001,73.77520066999999,73.30999343241265,72.62137555728987,72.57030077833414,73.7555779541854,0.7434229999999928,31.458637949480522,40.641303634051646,68.98031947101627,70.51724343678531,0.5192421595092895,0.4494272332464132,60.664042484842625,56.780829878028364,-1473055.3954429966,25500.0,1.019588592958735,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,64.871376,0.008499306354680769,1.0
2014-11-21,74.342171,74.713882,74.263916,74.283478,64.871376,49500,0.6713333333333333,0.9166666666666666,0.6774193548387096,0.5714285714285714,73.5733138,72.07962443333332,72.1332291,73.792491625,73.48699062651944,72.72860797294858,72.63748419879164,73.76083069095968,0.37171200000000226,53.26311861499878,41.45242337098384,75.26478202953396,71.44813523662583,0.5661968503089554,0.4727811566589217,226.56358627369914,62.16615434847479,-1518251.4302545157,75000.0,0.5029131627026775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,64.512589,-0.005530744407209576,0.0
2014-11-24,74.361732,74.49868,73.559624,73.872643,64.512589,30700,0.6713333333333333,0.9166666666666666,0.7741935483870968,0.0,73.5527725,72.15005393333333,72.16081394,73.8082543,73.55710923987954,72.80241668437125,72.68592179883902,73.76194325124864,-0.20541300000000717,54.534053285755874,46.41860328341173,72.1469458367389,72.13068244576306,0.5637591653193965,0.4909767583910167,107.14762466214596,58.588770708293126,-1528484.741792912,44300.0,-0.27729264385664654,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,63.350815,-0.01800848513458375,0.0
2014-11-26,72.884674,72.884674,72.092339,72.581436,63.384991,29400,0.6713333333333333,0.9166666666666666,0.8387096774193549,0.2857142857142857,73.3835464,72.24167736666666,72.16140094,73.811898705,73.22875149115902,72.77246113793574,72.67641314917819,73.73818195972123,-0.6847309999999993,12.041000776286124,36.11021069305708,28.46476112991711,50.26622469474703,0.35762687882102284,0.4576386392512429,-184.56852231746407,49.98813747662776,-1582629.812179529,-9900.0,-0.9345800770497511,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,61.975487,-0.022237188611417436,0.0
2014-11-28,71.573898,71.896706,70.96743,70.96743,61.975487,28000,0.6713333333333333,0.9166666666666666,0.9032258064516129,0.5714285714285714,73.14878230000001,72.28732606666668,72.11718692000001,73.80424271999999,72.8176021291301,72.65600751613343,72.60939420215159,73.71061228848023,-2.34764100000001,0.6291023675793775,18.141893720331584,8.589910255052368,29.08054616751819,0.15297439669073754,0.39670579073914186,-281.73488936602286,44.75111992818155,-1610629.8121795286,-37900.0,-3.202126067640322,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,61.138321,-0.013508018097542429,0.0
2014-12-02,70.214226,70.341385,69.74469,69.891418,61.035812,21600,0.6713333333333333,1.0,0.06451612903225806,0.14285714285714285,72.4591605,72.2716751,72.04519226,73.766231435,71.86773091288873,72.31787811557567,72.40482234039445,73.6361429485435,-3.5899509999999992,0.0,0.4194015783862517,1.7294847356998488,5.761191369399104,-0.2808717851122253,0.18402442828290272,-184.8173467094866,32.99517875845033,-1660261.46379405,-108400.0,-4.885525472450029,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,62.086536,0.017214877062666112,1.0
