Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,48.98,50.209999,48.740002,49.75,48.644661,28295100,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,51.0460003,51.884,51.25580008,49.320050025,50.776267142049676,51.31546624479211,51.05138906863069,49.320050025,-1.5,29.94979494963447,25.571162435306423,39.202943128964456,27.642114672660853,-0.40021897858779454,-0.10060578647634394,-150.53628275590975,34.368064326526884,-304664371.4084993,-346457500.0,-2.926829268292683,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,48.957554,0.006432216682525693,1.0
2014-10-17,50.490002,50.720001,49.740002,50.07,48.957554,21969900,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,50.821000299999994,51.8096667,51.296000060000004,49.309050025,50.64785493440427,51.23511358383779,51.01290322280204,49.327512213805974,-2.25,17.42959049954244,24.206816651249614,37.792400594415646,34.865116127228596,-0.43815848712420546,-0.16811632660591624,-78.6677403370289,39.6634022459179,-311838290.88158035,-324487600.0,-4.3004587155963305,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,49.407333,0.009187121562486578,1.0
2014-10-20,50.029999,50.619999,49.959999,50.529999,49.407333,13796700,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,50.6460003,51.759000033333336,51.33760002,49.29470001,50.6264265826944,51.189622320364386,50.993965802299996,49.33947725645467,-1.75,28.814466034591685,25.397950494589534,44.005847664665886,40.33373046268199,-0.42619483726385,-0.21973202873750303,-51.86551630459541,38.163709095286976,-301804327.2452169,-310690900.0,-3.347360431280804,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,50.130894,0.014644809911111611,1.0
2014-10-21,51.040001,51.490002,50.75,51.27,50.130894,17798300,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,50.646000300000004,51.75933343333334,51.39520004,49.282000005,50.74343993129541,51.19480797711507,51.00479067279804,49.358686437982485,0.0,48.45177082013222,31.565275784755453,55.116966085723334,45.638404781601615,-0.35293326729048147,-0.24637227644809873,17.295406006767404,43.71853000344107,-294588867.822945,-292892600.0,0.0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,49.573559,-0.011117595469173014,0.0
2014-10-22,51.27,51.799999,50.68,50.700001,49.573559,16664500,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,50.4620003,51.721666733333336,51.440400079999996,49.264600009999995,50.735541943787155,51.162884946333456,50.99283813660988,49.3720328515349,-1.8399999999999963,57.047116427795636,44.77111776083984,59.72223958334479,52.948351111244655,-0.33698257551886,-0.264494336262251,8.384961663408506,43.94468211330277,-310658176.8192029,-309557100.0,-3.5020935762829475,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,50.267776,0.014003775682112973,1.0
2014-10-23,51.25,51.900002,51.09,51.41,50.267776,15167500,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,50.489000399999995,51.694333400000005,51.49360008000001,49.247600004999995,50.8581706812804,51.178827853021616,51.00919742537028,49.39231113161913,0.2700009999999935,68.25805157530651,57.918979607744795,66.154999663377,60.331401777481695,-0.2640072406491427,-0.2643969171396294,50.43460140927057,43.47937592211851,-313841508.87887704,-294389600.0,0.5279644217435231,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,50.64912,0.007586251677416778,1.0
2014-10-27,51.48,51.650002,51.169998,51.59,50.443783,12134600,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,50.827000000000005,51.65099996666667,51.60440002,49.21494999000001,51.131337249452166,51.24284512631757,51.06176967332336,49.43789739672902,1.6899980000000028,85.2155370185322,76.08464589685546,77.3522275351666,71.31900552666269,-0.11597029596467223,-0.22004219370239053,59.351223298517205,44.177383668542966,-295175866.7194947,-293239800.0,3.3867694033359013,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,51.274895,0.016476004585143755,1.0
2014-10-29,52.48,52.75,52.09,52.650002,51.480236,16322200,0.6713333333333333,0.8333333333333334,0.9354838709677419,0.2857142857142857,51.221000000000004,51.662333333333336,51.72200006,49.202049984999995,51.602135067815084,51.40588222396783,51.175981965263134,49.49943306388125,2.970002000000001,94.69962359775546,90.71659454424469,91.17879520789027,84.82969133967039,0.10338439618247008,-0.12053185909451238,139.2854570924561,49.01791226405483,-270275832.25130165,-260388400.0,5.978264895330114,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,51.978996,0.009688378273945863,1.0
2014-10-30,52.619999,53.400002,52.34,53.150002,51.978996,21027700,0.6713333333333333,0.8333333333333334,0.967741935483871,0.42857142857142855,51.5610002,51.6453334,51.78900012,49.192849984999995,51.883565419121425,51.51840608048604,51.25339451564497,49.53575713289736,3.4000020000000006,100.0,95.64474887140061,97.10163038464577,91.41282562283011,0.22496068478427844,-0.051433350318754206,150.90166249054016,56.83461984364254,-259166839.9518532,-239360700.0,6.83417487437186,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,52.350628,0.007149657142281107,1.0
2014-11-03,53.419998,53.75,53.02,53.470001,52.291943,12123000,0.6713333333333333,0.9166666666666666,0.0967741935483871,0.0,52.2010003,51.66133336666667,51.88900012,49.203499995,52.41693225577549,51.76572270311006,51.42609774550696,49.61425207850965,2.940002000000007,99.22654452111966,99.74218150703989,93.81903684682032,95.49895511450886,0.4355794670032509,0.10987251067158445,123.77295497299197,57.503586846835184,-251180420.1967911,-223844300.0,5.81832982027173,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,52.018108,-0.005236657586045412,0.0
