Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,84.540001,87.57,84.010002,86.379997,86.379997,5615600,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,90.7249998,92.42599963333333,91.99499984,82.45247507,89.58459462366366,91.46529979606623,90.94494749918616,82.45247507,-6.43000099999999,0.32396326152525673,0.2159755076835045,19.79470615168106,13.483772839384704,-1.3494663621748657,-0.33809523345959425,-133.11640223293162,34.79651065753296,14482910.141178466,-44296000.0,-6.92813397108358,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,88.120003,0.02014362190820629,1.0
2014-10-17,87.660004,89.529999,87.120003,88.120003,88.120003,6405500,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,90.01600020000001,92.23699970000001,92.05299988,82.46322507999999,89.318305237543,91.24947419632004,90.83416536196317,82.50886838273632,-7.089995999999999,9.68714150005374,3.4450226743680843,30.036330748597326,21.46068119190201,-1.403702240837049,-0.5512166349350852,-65.90608460208932,35.829821690465465,13393186.598898713,-37890500.0,-7.446692652522766,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,92.0,0.04403083145605424,1.0
2014-10-20,88.839996,92.550003,88.57,92.0,92.0,7972800,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,89.76600020000001,92.16933306666667,92.16279984,82.498700085,89.80588610344427,91.2978952159123,90.87988436737639,82.60330750330611,-2.5,35.62449647955997,15.211867080379657,44.45609152608019,31.429042808786193,-1.120682701431761,-0.6651098482344204,1.2681234744912848,38.76988652647529,19162438.552125875,-29917700.0,-2.6455026455026456,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,94.970001,0.032282619565217274,1.0
2014-10-22,94.93,96.849998,93.82,94.760002,94.760002,8707400,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,90.0050009,92.25966663333334,92.49080002,82.62927511,91.47484988742963,91.7428824751116,91.18615250598643,82.84609691939372,-0.12999700000000303,92.09228123993661,65.55820251079662,82.36490149225115,64.60595185651393,-0.2892458094159167,-0.5873993489972553,86.0568097129462,56.58309710537255,18911548.03019455,-28644100.0,-0.13699757758454928,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,100.400002,0.059518783040971135,1.0
2014-10-23,95.980003,100.910004,95.599998,100.400002,100.400002,9673600,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,90.8070014,92.54100006666667,92.73059998000001,82.71262510499999,93.09760481698788,92.30140631542699,91.54747993712421,83.0207626415888,8.020004999999998,99.16429633223846,86.7381357950228,91.52010061482717,80.29395488609624,0.4460189674864523,-0.38071568570051384,150.54312927123115,59.35716375824801,26726937.193069346,-18970500.0,8.681538493663295,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,103.239998,0.02828681218552176,1.0
2014-10-27,102.900002,103.910004,101.989998,103.099998,103.099998,6121400,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,93.6000007,93.38633340000001,93.29599989999998,82.8980501,96.42500752211583,93.65827520423944,92.44106840793359,83.41974059477633,15.619995000000003,99.62155615017271,99.31671627154988,97.62523709263172,94.32764137020763,1.8430578275906555,0.323921633047447,152.54864034552392,70.12381572667836,36501724.2365646,-15961800.0,17.85550350289769,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,105.699997,0.025218225513447656,1.0
2014-10-28,104.110001,106.07,104.059998,105.699997,105.699997,6596500,0.6713333333333333,0.8333333333333334,0.9032258064516129,0.14285714285714285,95.5220001,93.82399996666666,93.58379988,83.0143001,98.11136924536748,94.43516048138528,92.9610263919362,83.64143468836065,19.219994,99.62155615017271,99.4691362108613,98.04464444275088,96.50248931284887,2.4991609912387673,0.758969504685711,145.34960323437815,70.91279350212437,40669644.77296205,-9365300.0,22.22478415038908,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,105.139999,-0.005297994473925982,0.0
2014-10-29,105.32,106.279999,104.019997,105.139999,105.139999,5588200,0.6713333333333333,0.8333333333333334,0.9354838709677419,0.2857142857142857,97.38099969999999,94.2533332,93.85939984000001,83.12240011,99.38930192802795,95.12579522452172,93.43863316087987,83.85535075116303,18.589996,98.1333113463167,99.12547454888738,96.51684368617947,97.395575073854,2.940049259154094,1.1951854555793875,115.97374416949081,70.12906173597258,40620196.664686,-14953500.0,21.478908556479194,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,106.940002,0.017120059131824794,1.0
2014-11-03,106.529999,107.57,106.050003,107.410004,107.410004,5246900,0.6713333333333333,0.9166666666666666,0.0967741935483871,0.0,102.87499989999999,95.65766670000001,94.78259973999998,83.479625105,102.91218753233085,97.30743995135647,94.98963658897677,84.54376516662802,15.410004,100.0,99.00783679742933,94.3245179524793,95.53645359823133,3.9674452633742163,2.4361693380592557,83.24155628118677,81.2596072371262,45130401.72129465,1861800.0,16.75000434782609,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,105.75,-0.01545483603184672,0.0
2014-11-04,106.650002,107.0,105.040001,105.75,105.75,5134700,0.6713333333333333,0.9166666666666666,0.12903225806451613,0.14285714285714285,103.9529998,96.0786666,95.0295997,83.58700009500001,103.42815343554341,97.85212124481735,95.41161162470317,84.75477247840287,10.779999000000004,95.08614599164973,97.8659670625979,90.26719130867917,93.20782011299583,3.9792035146904965,2.744776173385504,65.35502375258267,82.52933963720331,43715736.13488358,-3272900.0,11.350951760019464,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,105.150002,-0.005673739952718693,0.0
