Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,23.99,24.51,23.959999,24.25,22.151968,51697900,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,24.6310001,25.455333400000004,25.65440004,26.02460009,24.570155063173964,25.204757911897303,25.48026653502164,26.024600090000003,-0.8700009999999985,37.93669485976407,22.721540318628218,22.438298599849322,13.857605713189749,-0.45602007334023753,-0.34659445866412764,-91.46122601070022,35.6076993809006,-390915825.3077979,-416345500.0,-3.4633796391966647,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,22.672657,0.02350531564509306,1.0
2014-10-17,25.0,25.25,24.700001,24.82,22.672657,52637800,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,24.5730001,25.41266673333333,25.64080004,26.011200090000003,24.61558141532415,25.179934820807155,25.454373729726676,26.01261401945274,-0.5799999999999983,64.01809897165326,41.643596902031256,37.810912106135994,24.730177421238363,-0.41000125004053345,-0.3592758169394088,15.572993772952094,43.632509985865,-420584553.1378485,-363707700.0,-2.283464566929127,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,22.864485,0.008460763994268428,1.0
2014-10-20,24.91,25.120001,24.709999,25.030001,22.864485,33868500,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,24.554000300000002,25.377666766666664,25.628200059999998,25.998950095,24.69093043071976,25.17026167107766,25.437731661894258,26.002836775478087,-0.18999800000000278,81.6273646517543,61.19405282772387,51.05057954816888,37.09993008471807,-0.3525220209590998,-0.35792505774334704,29.008745121173853,42.82631829886672,-401585078.1669947,-329839200.0,-0.7533624406567294,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,23.248148,0.016779866242340624,1.0
2014-10-21,25.27,25.530001,25.129999,25.450001,23.248148,31684600,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,24.6180005,25.3626668,25.62140006,25.9899001,24.828943261497983,25.188309369717814,25.43821281240821,25.997335921990746,0.6400019999999991,100.0,81.88182120780253,72.00427829681455,53.62192331703981,-0.2699668184484736,-0.34033340988437233,95.96826630737326,49.5802490222147,-382574254.7981111,-298154600.0,2.5796131632250328,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,23.010641,-0.010216168616958288,0.0
2014-10-22,25.34,25.48,25.15,25.190001,23.010641,30028700,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,24.6120006,25.337333466666667,25.61300006,25.9794001,24.894590123043802,25.188418507155376,25.42847901584318,25.989302738687357,-0.059999000000001246,95.07580488606233,92.23438984593888,79.03788216963788,67.36424667154044,-0.22295101228261416,-0.31685693036402074,76.79035501381509,49.42386645883964,-405323087.9575047,-328183300.0,-0.23761980198020297,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,23.239014,0.00992466919978452,1.0
2014-10-23,25.42,25.690001,25.4,25.440001,23.239014,30960500,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,24.6780006,25.318000166666664,25.605200080000003,25.970550109999998,24.993755737035833,25.204649635726,25.428930858359134,25.983837049745194,0.6600000000000001,94.43074953918243,96.50218480841492,85.18047011732308,78.74087686125851,-0.1636314944913302,-0.2862118431894827,110.62802212596439,50.306664053468175,-427742576.3023728,-297222800.0,2.663438149175217,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,23.421709,0.007861564178239133,1.0
2014-10-27,25.66,25.700001,25.379999,25.52,23.31209,19784500,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,24.972000400000002,25.297000099999998,25.5980001,25.955450114999998,25.18557187355291,25.25126980816397,25.44045478389861,25.97583452411969,1.5699989999999993,97.03933777457586,95.30027895098023,92.01487545605306,88.2117337844435,-0.057404497220531425,-0.2105504128498821,94.66310688471148,56.302533939133006,-411365553.0449956,-296443400.0,6.555319141740324,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,23.640947,0.014106714584578128,1.0
2014-10-28,25.58,25.879999,25.559999,25.879999,23.640947,28586800,0.6713333333333333,0.8333333333333334,0.9032258064516129,0.14285714285714285,25.1500003,25.2860001,25.59420008,25.95120011,25.311831351088742,25.29183298183081,25.457691811981014,25.97488093681502,1.779999,97.68439312145576,96.38482681173802,96.18154212271973,91.87875778624239,0.004820721899076119,-0.16747618590009045,112.7332315488482,55.674772408143355,-382778753.0449956,-267856600.0,7.3858879668049795,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,23.43998,-0.008500801596484364,0.0
2014-11-05,25.9,25.9,25.67,25.82,23.586138,31585700,0.6713333333333333,0.9166666666666666,0.16129032258064516,0.2857142857142857,25.684000000000005,25.2046668,25.53740008,25.92115011,25.611217060996456,25.436658759353318,25.515644770635625,25.960463805196547,0.6299990000000015,85.73641002149547,87.66631188248834,89.70467199958273,90.64240970044267,0.12945866273969742,0.030154686858496243,89.8230883390165,67.54492965907308,-339890373.35912806,-234082300.0,2.5009883882100743,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,24.07942,0.020914064015058464,1.0
2014-11-14,26.43,26.51,26.379999,26.459999,24.170765,16943900,0.6713333333333333,0.9166666666666666,0.45161290322580644,0.5714285714285714,26.224,25.442000066666665,25.59820006,25.960150099999996,26.23708580616535,25.808991776760582,25.739824837260777,25.992339714739533,0.6499999999999986,83.45648739163677,86.98348543267726,86.55861728395053,88.83507410577083,0.316102693617335,0.2336338894138656,75.82407383368982,67.47604749682456,-289364282.13087493,-150537600.0,2.5184038170632963,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,24.307789,0.005668997236951245,1.0
