Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,517.578979,527.980408,513.589966,523.073914,523.073914,3708500,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,550.4816467,569.7922973333333,571.48897216,566.8235753,545.2151717537796,562.50774782909,566.8042552506822,566.8235752999999,-45.445190000000025,7.271472203725459,6.817052945594579,13.978797042871802,8.848590521999066,-12.311433050255914,-7.04223850889746,-145.8220282945448,28.26908549766062,18199174.94420415,-7319200.0,-7.993608249970087,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,509.770416,-0.025433304249999233,0.0
2014-10-17,525.806396,529.526184,507.137665,509.770416,509.770416,5539300,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,544.0881987999999,567.3021331333333,570.4480303800001,566.6000189350001,538.7706707076378,559.1053393239874,564.5676341035967,566.2558821726368,-63.93447899999995,1.3632577743926106,5.3020673939478336,12.253352122666284,11.824257574356494,-14.482625806106512,-8.53031596833927,-133.92766701173142,25.01734960315527,13962649.604225192,-12858500.0,-11.144140403403732,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,519.41394,0.018917386527977698,1.0
2014-10-20,508.055145,520.331421,506.708832,519.41394,519.41394,2607500,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,538.4526702000001,565.0124195666666,569.49205502,566.44490449,535.2512651244309,556.5446038837301,562.7969010014948,565.7897931957947,-56.35528599999998,9.555622702014507,6.063450893377516,11.842636934694005,12.691595366744034,-15.24937461703098,-9.874127698077613,-111.35367599661586,26.655062899721564,16218919.495543238,-10251000.0,-9.78782530485573,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,525.098328,0.010943849523946225,1.0
2014-10-21,523.752014,525.347656,517.68866,525.098328,525.098328,2336200,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,534.7428557999999,563.2017242,568.6675189,566.287526865,533.4052765563525,554.5158118912314,561.3185255896715,565.3849029948416,-37.098143999999934,24.309426027262266,11.742768834556452,15.471245733941501,13.189078263767266,-15.22286624249,-10.94387540696009,-74.5905351752062,32.451181936879095,18403015.98913062,-7914800.0,-6.598786340302743,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,531.251465,0.011718066259011284,1.0
2014-10-22,528.439148,538.322021,527.352173,531.251465,531.251465,2919200,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,530.7747528,561.5266570666666,568.0687628000001,566.107266245,533.0136744551976,553.0148862853455,560.1394251743902,565.045266795888,-39.681029999999964,44.43829686102084,26.101115196765857,25.509823014429998,17.60790189435517,-14.537769080185967,-11.662654141605266,-36.75116474310024,38.74449665319935,17559106.951484922,-4995600.0,-6.9502139653130035,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,542.490601,0.021155962365204894,1.0
2014-10-23,537.843323,545.721741,534.382874,542.490601,542.490601,2348800,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,529.089383,560.2844004,567.45445006,565.9772982899999,534.736752008798,552.3359001379039,559.4473144224534,564.8208422606054,-16.85369800000001,63.88080314429979,44.20950867752762,36.09053423619674,25.69053432818942,-12.938770208521078,-11.917877354988429,0.7402418068403191,40.56304823910586,18569272.036373913,-2646800.0,-3.0131169710911827,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,538.302063,-0.007720941141245663,0.0
2014-10-27,535.559631,542.919434,535.559631,539.289368,539.289368,1185300,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,529.3735992999999,558.0182871333333,566.1065496800001,565.735307935,536.0948772125012,550.647193013504,557.8600998224955,564.3055548469652,7.539307000000008,88.09510510865663,76.73821271770004,48.682500807670415,42.71773983425218,-10.823348203976934,-11.691738560705454,17.650336331453445,40.42644689639041,18344377.4145597,-3434600.0,1.4178290804182923,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,547.397095,0.015034093904109813,1.0
2014-10-30,547.44696,551.286438,542.021851,548.803284,548.803284,1455600,0.6713333333333333,0.8333333333333334,0.967741935483871,0.42857142857142855,534.9642488,554.5129099666667,564.01289858,565.43487642,541.5262384296869,550.1744565334614,556.7481014520718,563.8240467031369,25.729370000000017,100.0,96.3607407218782,76.0801427165067,63.973042824175856,-6.590285820876488,-9.74088744415483,96.42666800426365,47.080767669226745,19646595.325929333,1062400.0,4.9188784436304385,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,557.549255,0.01593644071561351,1.0
2014-10-31,557.818481,558.037903,553.231079,557.549255,557.549255,2035000,0.6713333333333333,0.8333333333333334,1.0,0.5714285714285714,539.7421327,553.2829538999999,563.52842836,565.342866835,544.4395141697438,550.6502499829155,556.779519238265,563.7616109647973,47.778839000000005,100.0,98.88397090297936,87.64167948598401,75.27662609690985,-4.835061073064367,-8.759722169936737,132.4427111496431,53.80257398510221,21267850.74946886,3097400.0,9.37261902620885,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,553.699829,-0.006904190016360112,0.0
2014-11-04,551.485901,553.979065,547.796021,552.592834,552.592834,1244200,0.6713333333333333,0.9166666666666666,0.12903225806451613,0.14285714285714285,545.9201722,551.3160207000001,562.4627533,565.110359815,547.299503452473,550.9596316603871,556.4992995006054,563.5513578135923,27.494506,93.7334196197419,96.99961715616287,93.3294519720933,91.67685636803407,-2.877868349518053,-6.775693665936055,78.36218655086599,52.13849392012991,21749932.728847682,471000.0,5.236068091231858,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,544.425293,-0.014780396156928832,0.0
