Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-17,12.64,12.69,12.36,12.46,12.46,225200,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,12.656,12.903333333333334,12.839,12.158700000000001,12.607071318172935,12.774433362656852,12.730831720469213,12.159371393034826,-0.6499999999999986,19.100607699312036,13.99848637184588,27.90484522767989,22.53094841417651,-0.12227956144855412,-0.03958771263566867,-66.06655755591983,50.2648337999999,-6111830.961134761,4010600.0,-4.958047292143392,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,12.69,0.01845906902086658,1.0
2014-10-20,12.39,12.7,12.34,12.69,12.69,354200,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,12.616000000000001,12.896666666666668,12.8422,12.16285,12.622149260323308,12.768986048937055,12.729230476529246,12.164651279671295,-0.40000000000000036,38.191917715324074,24.260105470497336,39.02941619477051,30.565857419531977,-0.1098508752534606,-0.053640345159227054,-41.2048877522023,56.26009708778579,-5777308.738912538,4364800.0,-3.0557677616501175,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,12.93,0.01891252955082745,1.0
2014-10-21,12.78,12.94,12.69,12.93,12.93,146900,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,12.611999999999998,12.896000000000003,12.8502,12.1687,12.678122122082707,12.779374045779827,12.737103791175159,12.17226668982382,-0.040000000000000924,60.76294323032019,39.35182288165211,53.31705331705327,40.08377157983457,-0.0797161396276369,-0.05885550405290903,27.32049036777556,61.30945255452761,-5642160.738912538,4511700.0,-0.3084040092521274,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,12.81,-0.009280742459396696,0.0
2014-10-22,12.93,13.11,12.81,12.81,12.81,230700,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,12.583,12.891333333333334,12.856399999999999,12.174,12.702099918067667,12.781349913794031,12.739962466031034,12.1786122949002,-0.28999999999999915,77.23436405065017,58.7297416654315,64.10256410256405,52.14967787146262,-0.06477050756036462,-0.060038504754400146,45.74209245742091,53.2148609250415,-5872860.738912539,4281000.0,-2.213740458015261,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,12.91,0.0078064012490242085,1.0
2014-10-27,12.87,13.01,12.84,12.96,12.96,154700,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,12.695,12.895999999999999,12.871000000000002,12.19385,12.81117268239769,12.810317983536057,12.762660546592828,12.201119807829278,0.620000000000001,96.39024067894684,90.73207005310474,81.2407973722958,76.07302276007675,-0.008134986200801109,-0.04198647154083225,70.15706806282702,61.11757847805203,-5782386.892758691,4826000.0,5.024311183144254,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,13.07,0.008487654320987525,1.0
2014-11-06,13.1,13.13,13.01,13.07,13.07,223100,0.6713333333333333,0.9166666666666666,0.1935483870967742,0.42857142857142855,13.083000000000002,12.913333333333332,12.929400000000001,12.2627,13.052556948466222,12.936253923026674,12.859161093468717,12.271384279154837,0.16000000000000014,86.68397899131172,94.09384637528017,64.23536865447056,67.74356537578205,0.08103418713852584,0.05144210404466902,28.215420638902177,73.95562153637877,-6273860.190631005,6292800.0,1.2393493415956633,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,12.98,-0.00688599846977811,0.0
2014-11-14,13.08,13.12,13.03,13.09,13.09,292600,0.6713333333333333,0.9166666666666666,0.45161290322580644,0.5714285714285714,13.055000000000001,12.894,12.9472,12.309249999999999,13.035428222482789,12.963625313159696,12.892957136497442,12.314725959389328,-0.05000000000000071,40.930040669525084,22.510928151876424,26.33894596651447,24.42830416032473,0.05152644864589995,0.0535162714542114,-3.535353535354057,60.788085502598975,-6403560.101504424,6937700.0,-0.3805175038051804,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,12.99,-0.007639419404125269,0.0
2014-11-17,13.1,13.12,12.97,12.99,12.99,181400,0.6713333333333333,0.9166666666666666,0.5483870967741935,0.0,13.040000000000001,12.890666666666668,12.949200000000001,12.31545,13.027168545667735,12.96532690585907,12.89676273898774,12.321445104072021,-0.15000000000000036,36.80242448429508,32.08843526049001,22.222222222222246,24.298420852359243,0.044656162959402224,0.05174424975524957,-58.33333333333496,54.15556774548335,-6536586.768171091,6756300.0,-1.1415525114155278,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,13.07,0.00615858352578913,1.0
2014-11-19,13.1,13.14,13.0,13.1,13.1,236700,0.6713333333333333,0.9166666666666666,0.6129032258064516,0.2857142857142857,13.032,12.894,12.954600000000001,12.33,13.046782249579227,12.980332911370947,12.911260029338548,12.336566113867383,-0.030000000000001137,36.76697652150734,37.18834112305817,20.83333333333333,21.122685185185208,0.0474090289839193,0.04982153759826351,2.150537634407784,43.79594182627063,-6545879.911028236,7300600.0,-0.22848438690023712,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,12.99,-0.008396946564885432,0.0
2014-11-20,13.04,13.08,12.97,12.99,12.99,195700,0.6713333333333333,0.9166666666666666,0.6451612903225806,0.42857142857142855,13.024000000000001,12.899333333333335,12.9554,12.33725,13.036458204201184,12.980956594508307,12.914347871325273,12.343067943580145,-0.08000000000000007,36.76697652150734,37.17652513546225,23.854166666666686,21.66666666666669,0.03986660035606704,0.047830550149824215,-61.7002237136451,31.306050568131226,-6670416.274664601,7104900.0,-0.6120887528691665,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,12.7,-0.02232486528098543,0.0
2014-11-21,13.19,13.45,12.66,12.7,12.7,299400,0.6713333333333333,0.9166666666666666,0.6774193548387096,0.5714285714285714,12.996,12.905,12.953000000000001,12.3434,12.975283985255512,12.962830362604546,12.905942072449772,12.346619506330592,-0.28000000000000114,21.168554200010565,31.567502414341764,17.729430379746805,20.80564345991562,0.010369066811668048,0.040338253482192984,-138.2716049382694,32.52827687701138,-6939497.2873228295,6805500.0,-2.1571648690292844,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,12.9,0.015748031496063186,1.0
2014-11-24,12.73,12.9,12.66,12.9,12.9,502500,0.6713333333333333,0.9166666666666666,0.7741935483870968,0.0,12.987,12.923666666666668,12.9528,12.351299999999998,12.961595987936327,12.958776790823608,12.905709050000763,12.352125779899442,-0.08999999999999986,14.973074313288656,24.302868344935536,18.481012658227865,20.0215365682138,0.003094713558230211,0.03288954549740043,-228.72628726287087,30.53684051989996,-6436997.287322833,7308000.0,-0.6928406466512691,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,13.36,0.0356589147286821,1.0
