Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,90.269997,91.029999,89.82,90.790001,83.395767,7226400,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,93.1640007,92.734667,92.41340042,86.762650295,92.74676761172948,92.69317577253308,92.17947452233767,86.762650295,-1.7900009999999895,0.0,21.962029391899417,17.04502261864731,27.445676199581854,0.04489208947848056,0.3244004860176821,-238.7571410259037,47.96180095907363,8888482.481642894,79375000.0,-1.9334639893397167,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,84.057159,0.007930762241205702,1.0
2014-10-17,91.089996,92.0,90.550003,91.510002,84.057159,6260100,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,92.96500089999999,92.72666706666668,92.44560042,86.80970031499999,92.52190113686957,92.61684198075676,92.15322069793227,86.80988762539802,-1.989998,6.623574574101412,7.63331733176129,20.020206897285707,20.951408732637947,-0.06240425277960071,0.24703953825822556,-126.8284089494918,49.94041712405168,10917626.85925194,85635100.0,-2.1283401069518715,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,85.930992,0.022292366555000998,1.0
2014-10-21,93.260002,93.959999,92.169998,93.730003,86.096329,6982200,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,93.0460014,92.86000063333334,92.5496005,86.92350035999999,92.89449679410276,92.7449786324833,92.26768300489634,86.94514299778193,0.630004999999997,50.56463826309533,28.410572489096634,48.593784073887996,33.96508900699148,0.09333746542540666,0.17948926852852598,18.550887353685674,58.144088631140534,21889955.394099973,99500400.0,0.6766971144295804,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,86.766869,0.007788253085680319,1.0
2014-10-22,93.849998,95.019997,93.639999,94.459999,86.766869,5148200,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,93.0980011,92.94900056666665,92.6146005,86.97840034,93.17913355881134,92.85562510780696,92.35365618117491,87.01991768437117,0.5199969999999894,70.82295951055909,49.81036746791585,63.95834938150796,48.61113650173223,0.2103329260262825,0.18565800002807728,91.41362659585442,62.831049022792044,22859914.98563556,104648600.0,0.5535416105270994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,86.123894,-0.00741037457511573,0.0
2014-10-23,94.940002,95.32,93.5,93.760002,86.123894,5805000,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,93.1170013,93.01933389999999,92.65500057999999,87.03100036,93.28474600266382,92.91397200407748,92.40880699759944,87.08698319994957,0.1900020000000069,70.81278208824087,64.06679328729842,65.05209400227702,59.20140915255765,0.24375886323751672,0.1972781726699652,68.70219172856869,57.15204537029739,18713499.172448754,98843600.0,0.20305867265149824,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,86.895477,0.0089589887795829,1.0
2014-10-27,94.480003,95.239998,94.309998,94.620003,86.913849,3135500,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,93.18000099999999,93.25766726666667,92.76660062,87.14535037499999,93.72317732409726,93.12579659253817,92.57807985822232,87.23595114257574,0.6800009999999901,74.40377327482277,73.31546602884346,70.41667128906184,68.35069418131519,0.4028060831485476,0.2602876670935893,82.51491214860715,63.24906154939277,20446560.986956377,105984900.0,0.7238673467347702,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,87.501709,0.006763709198979395,1.0
2014-10-28,94.690002,95.260002,94.300003,95.260002,87.501709,3368300,0.6713333333333333,0.8333333333333334,0.9032258064516129,0.14285714285714285,93.405001,93.347334,92.82880062,87.20980037,94.00259999244321,93.26348726398732,92.68325327554693,87.31579244463967,2.25,83.3090498875756,77.4808886286217,78.2291700683589,72.74305287000915,0.503038486953173,0.30883783106550605,83.19446718102549,62.264509740201255,23814860.986956425,109353200.0,2.419094668979794,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,86.978134,-0.005983597417508868,0.0
2014-10-29,95.5,95.5,94.07,94.690002,86.978134,3274300,0.6713333333333333,0.8333333333333334,0.9354838709677419,0.2857142857142857,93.6970015,93.40866746666667,92.88540063999999,87.27140036499999,94.12758217563534,93.35552047276234,92.76194930395685,87.389167664096,2.9200050000000033,82.20831379768701,79.97371232002845,80.03291462733385,76.2262519949182,0.5303654302536387,0.3531433509031326,69.80444982530499,55.34063833478732,23379823.29269074,106078900.0,3.1818732651805615,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,87.859955,0.01013842168653567,1.0
2014-11-03,95.940002,96.43,95.610001,95.830002,88.025291,4330400,0.6713333333333333,0.9166666666666666,0.0967741935483871,0.0,94.8770011,93.63900066666666,93.1208006,87.46990039,94.92624178665524,93.81457528858385,93.11522117189634,87.64022787039029,2.2799989999999895,96.88833724340459,92.62609428216994,90.48240823396634,88.2307266908655,0.7766967773703328,0.5324031953909418,99.65448418169717,60.687257948591885,23384536.977413677,110575000.0,2.4371982115275714,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,88.852013,0.009391868980018536,1.0
2014-11-12,96.699997,97.389999,96.220001,97.160004,89.246986,3247500,0.6713333333333333,0.9166666666666666,0.3870967741935484,0.2857142857142857,96.5710007,94.53700099999999,93.71560058000001,87.98905043999999,96.41436799089463,94.95661270387585,94.03277657634963,88.26403661052379,2.470001999999994,92.11306947322309,92.87811678819777,78.91344439405272,79.47826224806522,1.0445634172092468,0.9169057327028312,77.67539412330724,68.3612189831608,32225182.58733546,112181100.0,2.6085140435417813,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,90.514603,0.014203471252239197,1.0
