Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,68.629997,70.459999,68.540001,70.190002,57.53949,2649300,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,74.0420005,78.62400006666667,80.85199966,80.78244989,73.66072370894626,77.67463480066013,79.60889855878332,80.78244989,-6.979996,0.0,0.2911793975881579,10.156840030788693,5.757667978598758,-2.8618489743718953,-2.228303341168444,-142.32835059405568,7.906562656858514,14258644.59398412,12386700.0,-9.04496071128575,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,59.129837,0.02763922655553608,1.0
2014-10-17,71.510002,72.480003,71.410004,72.129997,59.129837,1247600,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,73.5940001,78.22566656666667,80.59439956,80.77114988,73.38240976186512,77.31691623287561,79.31560830157613,80.69635583139303,-4.480003999999994,22.445710320503935,7.4819034401679785,20.64451465945439,12.157265418782563,-2.818616282502603,-2.346365929435276,-71.29268607152501,12.43201385085319,14690042.92351528,13634300.0,-5.847805693149637,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,58.621574,-0.00859571116355351,0.0
2014-10-20,70.860001,71.559998,70.68,71.510002,58.621574,911800,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,73.0789999,77.8743332,80.32919966,80.756399895,73.04197198698054,76.94227660494816,79.00950609367119,80.60494932560803,-5.150002000000001,42.13384304352566,21.526517788009865,25.279925863322575,18.693760184521878,-2.802081822690454,-2.4375091080863114,-78.09524093307344,13.812643158377869,15498237.340775318,12722500.0,-6.717977734517207,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,60.449661,0.03118454308306351,1.0
2014-10-21,72.540001,73.800003,72.5,73.739998,60.449661,808400,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,72.8489996,77.63099976666668,80.1071997,80.75564989,73.16888580752953,76.7356779852741,78.8028587174488,80.5366413522189,-2.300003000000004,75.467176376859,46.68224324696286,38.676335980803,28.200258834526647,-2.5793034986474197,-2.4658679861985333,-14.944337470848309,18.64117535368872,16232009.75606974,13530900.0,-3.024727735077231,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,59.90041,-0.009086089002219522,0.0
2014-10-22,73.300003,73.870003,72.970001,73.07,59.90041,888000,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,72.3829993,77.32333299999999,79.88619964,80.7481999,73.15090656979689,76.49918263138545,78.57804072852923,80.46234641339085,-4.660003000000003,83.35700771335713,66.9860090445806,44.25002226639973,36.068761370175096,-2.4288154385151444,-2.4584574766618554,-9.07011701487951,18.885639670841403,15541340.677556574,12642900.0,-5.995114910776477,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,60.621807,0.012043273159565882,1.0
2014-10-27,73.529999,74.07,73.25,73.860001,60.548031,651100,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,72.5529991,76.60866626666667,79.32419952000001,80.73319986,73.51679177564382,76.03958225238696,78.05638347599896,80.27035950248333,1.3499989999999968,98.89105530676778,97.63182398470177,58.98549387208127,56.42441234001904,-1.8420916733476673,-2.2316306578979836,35.3053136839619,28.606887120901188,16464085.968705315,13344900.0,1.8618107333661318,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,61.138279,0.00974842600579362,1.0
2014-10-31,74.269997,74.669998,73.589996,74.669998,61.21204,986900,0.6713333333333333,0.8333333333333334,1.0,0.5714285714285714,73.81099939999999,75.63033300000001,78.53439972,80.720449885,74.05067200519082,75.6734155228073,77.52669558359172,80.04303777563591,2.5400010000000037,97.57130173734619,97.52103096366743,86.97147300464214,82.00368722315316,-1.1746263580463392,-1.7180073278126937,71.41451065019585,42.805448295734266,18523624.734289054,15064400.0,3.521421191796256,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,59.908623,-0.02129347429035211,0.0
2014-11-03,73.879997,74.040001,72.949997,73.080002,59.908623,911800,0.6713333333333333,0.9166666666666666,0.0967741935483871,0.0,73.9679994,75.32599976666667,78.33519974000001,80.71544988500001,73.87418654970158,75.50609852133587,77.35231544305871,79.97375383756989,1.5699999999999932,91.11380726018395,95.41880357829211,81.07178186899442,84.07738389160477,-1.1667355989782067,-1.6077529820457965,17.257663201682597,43.56147421662885,17829325.879238963,14152600.0,2.195497071864147,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,58.68716,-0.020388767740497027,0.0
2014-11-04,71.68,71.860001,71.220001,71.589996,58.68716,1083100,0.6713333333333333,0.9166666666666666,0.12903225806451613,0.14285714285714285,73.7529992,75.01033303333334,78.09919968,80.69954987999999,73.45887917702856,75.25344674576583,77.12634213156622,79.89033336157418,-2.1500020000000006,78.14901314361985,88.94470738038335,67.4532695358805,78.49884146983901,-1.2661181256458747,-1.5394260107658124,-91.61559901506179,44.158388652123975,17998543.330801494,13069500.0,-2.9156523709154434,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,59.474155,0.013410003142084292,1.0
2014-11-06,72.709999,72.889999,72.129997,72.709999,59.605305,734100,0.6713333333333333,0.9166666666666666,0.1935483870967742,0.42857142857142855,73.5769997,74.49666646666667,77.62799971999999,80.667249885,73.18751442429183,74.92619024473368,76.78072574005786,79.74657588286674,-1.239998,63.12813748448857,69.04413039441474,43.0123169558375,53.73837871526786,-1.2156293052750158,-1.4288339442677338,-60.29899265967775,55.12018011604824,19044671.966365565,14607300.0,-1.6768060179907782,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,61.023499,0.0237930835183211,1.0
