Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,64.459999,69.519997,63.610001,67.529999,67.529999,372800.0,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,65.8499997,79.06899983333334,86.49660023999999,67.31154999,66.53491743090397,75.67379867035834,79.4655898713065,67.31154998999999,-0.8099969999999956,66.66666666666667,33.33333333333334,32.969034123873854,17.717743062038707,-6.7463992498284995,-6.766428280099239,-17.20726548734142,31.29115301700926,-985590.4367493686,1983200.0,-1.185245899048627,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,63.330002,-0.06219453668287489,0.0
2014-10-17,68.0,70.5,62.639999,63.330002,63.330002,268300.0,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,65.1630002,77.66866669999999,85.99840032,67.40975000499999,65.95220553437598,74.87742469162554,78.83282171949057,67.27193259706468,-6.869994999999996,91.04764603638323,63.68254867879441,42.349620401813176,30.659605736162764,-6.581073101598889,-6.72935724439917,-32.95284245248053,31.302285679918583,-1206784.1310631477,1714900.0,-9.786318082036379,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,66.309998,0.04705504351634149,1.0
2014-10-20,63.330002,66.489998,62.41,66.309998,66.309998,203500.0,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,64.9649999,76.44566663333333,85.54840032,67.5323,66.01725870994397,74.32468748571422,78.34173059323604,67.26236110853668,-1.9800030000000106,91.04764603638323,82.92065291314437,47.50571458854308,40.94145637141003,-6.1388256053893855,-6.611250916597213,-30.34066944193653,32.83628537165724,-1021240.0222179962,1918400.0,-2.8994039698432723,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,68.279999,0.02970895882096114,1.0
2014-10-21,67.519997,70.449997,67.5,68.279999,68.279999,250700.0,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,64.9569997,75.3253333,85.06060034000001,67.66685000000001,66.4286660354087,73.93470758341009,77.94715288369737,67.27248685870049,-0.08000199999999325,91.04764603638323,91.04764603638323,56.689701665670476,48.8483455520089,-5.565226198326215,-6.4020459729430135,70.38743774639572,39.7372769932371,-1139366.4980415301,2169100.0,-0.11703042543839817,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,67.720001,-0.008201493968973406,0.0
2014-10-22,68.760002,71.709999,67.599998,67.720001,67.720001,322100.0,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,64.7419995,74.13333323333333,84.56060034000001,67.79895001,66.66345421078893,73.53375877157718,77.54608810394454,67.27693973572835,-2.1500020000000006,98.86214764926315,93.6524799073432,70.4770816689679,58.224165974393806,-5.097075777426852,-6.1410519338397815,74.58838078718928,48.34007599616941,-1442657.2732749197,1847000.0,-3.0771459964013466,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,69.07,0.01993501151897492,1.0
2014-10-23,69.099998,70.870003,67.339996,69.07,69.07,302900.0,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,65.08099949999999,73.2283332,84.02240028,67.93684999999999,67.10100799064548,73.24577433470124,77.21369249202515,67.29478113139275,3.3899999999999864,98.86214764926315,96.25731377830319,79.67522740024147,68.9473369116266,-4.564512698062103,-5.825744086684246,80.44090968870417,48.50310214547086,-1448663.691137547,2149900.0,5.16138855054809,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,67.599998,-0.02128278557984642,0.0
2014-10-24,68.849998,69.739998,67.160004,67.599998,67.599998,289300.0,0.6713333333333333,0.8333333333333334,0.7741935483870968,0.5714285714285714,65.4979993,72.50633306666667,83.49480018,68.068349995,67.19173344689176,72.88153070020438,76.8366848648869,67.29781811516,4.169998,95.80636540057036,97.84355356636554,77.96923487179485,76.04051464700139,-4.212510300291271,-5.503097329405651,57.20747358504211,48.47611150819499,-1639288.8382502925,1860600.0,6.574173104209364,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,66.910004,-0.010207012136302152,0.0
2014-10-27,67.360001,67.970001,64.260002,66.910004,66.910004,189500.0,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,66.10699969999999,71.88333326666665,82.9484002,68.19605002,67.14050991109326,72.49627091309442,76.44740326234232,67.29395926824299,6.090004,92.44440102650886,95.70430469211412,76.30770256410254,77.98405494537961,-3.9437613869347388,-5.191230140911468,13.149323738584565,49.98642255545331,-1558074.2752544538,1671100.0,10.013160144689246,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,72.220001,0.07936028519741223,1.0
2014-10-29,72.349998,75.620003,71.480003,72.43,72.43,313300.0,0.6713333333333333,0.8333333333333334,0.9354838709677419,0.2857142857142857,68.1400002,70.80200006666668,81.86460014000001,68.519450015,68.85786215535994,72.4753214317507,76.13057875082043,67.39359177692856,7.550003000000004,95.50018327520166,93.46299510940646,84.64242460385077,80.8120851010061,-2.678662898516748,-4.380467144687057,155.4891260129149,57.07213641292021,-1357138.4916977491,2371500.0,11.636873226119297,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,70.300003,-0.029407662570757997,0.0
2014-10-30,71.300003,72.0,67.709999,70.300003,70.300003,255200.0,0.6713333333333333,0.8333333333333334,0.967741935483871,0.42857142857142855,68.4170006,70.31200016666666,81.22400016,68.66770002,69.12006958165813,72.33497830712163,75.90192872137649,67.42251129158599,2.770004,95.95861746788073,94.63440058986377,85.69227364259461,83.94027546050347,-2.3589283769637746,-3.976159391142401,71.13519445805308,58.2018929945627,-1304194.4978851588,2116300.0,4.101886629674021,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,72.760002,0.03499287190642075,1.0
