Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-16,47.18,48.68,47.049999,48.130001,44.168068,28973400,0.6713333333333333,0.8333333333333334,0.5161290322580645,0.42857142857142855,50.4130001,51.437333466666665,51.191400120000004,49.53565007500001,49.88634719886721,50.94732019254307,51.117416465487565,49.53565007500001,-3.2700010000000006,3.436159119808476,1.145386373269492,22.02777970164806,13.80503001513972,-0.7461544112330571,-0.2946338418220167,-161.6670686937321,30.670828667684013,12023435.396682987,170317000.0,-6.361869402261893,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,44.681973,0.011635215740022797,1.0
2014-10-17,48.490002,49.029999,48.41,48.689999,44.681973,28314000,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,50.072000200000005,51.338666700000005,51.17120008,49.55400007,49.668829344527715,50.80168656721771,51.02222362370374,49.527235636442796,-3.409998999999999,13.472060812567761,5.636073310792079,29.623482834994444,21.680940608525756,-0.804583593347644,-0.39662379212714216,-94.61895694213652,38.09249372979958,9283320.793272348,198631000.0,-6.545103898084601,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,45.131634,0.010063588731858308,1.0
2014-10-20,48.68,49.240002,48.610001,49.18,45.131634,15018500,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,49.7870003,51.26233333333333,51.15480008,49.57320006999999,49.57995128188631,50.69706162739721,50.949979560029085,49.52378055548317,-2.849998999999997,28.892193144856872,15.266804359077703,36.98783499446288,29.546365843701803,-0.8021039999234887,-0.47771983368641147,-66.01779535472839,37.55423925525484,21441063.31193532,213649500.0,-5.477607254999173,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,46.297096,0.02582361631311647,1.0
2014-10-21,49.630001,50.580002,49.57,50.450001,46.297096,17660200,0.6713333333333333,0.8333333333333334,0.6774193548387096,0.14285714285714285,49.7240002,51.2416667,51.16600012,49.598350085,49.738142139725156,50.681122232081265,50.930372557675,49.53299667930921,-0.630001,52.76493308965999,31.709729015694876,49.83390365448503,38.81507382798079,-0.6897098911162658,-0.5201178451723824,-3.835973101298059,43.40444820041191,34555047.2446404,231309700.0,-1.2333613456005739,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,46.040146,-0.005550024131103282,0.0
2014-10-22,50.52,50.689999,50.139999,50.169998,46.040146,20078200,0.6713333333333333,0.8333333333333334,0.7096774193548387,0.2857142857142857,49.5259998,51.19666663333333,51.17380010000001,49.622200064999994,49.81666138704785,50.648146475172794,50.900553947570096,49.539335000908125,-1.980004000000001,67.82551115827096,49.82754579759594,58.02880398671093,48.283514211886285,-0.6161283085337814,-0.5393199378446621,6.582638237481982,49.44939370592763,16667123.323912889,211231500.0,-3.796747697152535,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,46.434753,0.008570932854991442,1.0
2014-10-23,50.759998,50.98,50.490002,50.599998,46.434753,14394500,0.6713333333333333,0.8333333333333334,0.7419354838709677,0.42857142857142855,49.47399969999999,51.16366656666667,51.18600002,49.645600065,49.95908622576642,50.64504012193584,50.88876743982225,49.549888861595605,-0.5200010000000006,81.42112120994751,67.33718848595949,65.89147286821702,57.918060169804335,-0.5171555209431276,-0.5348870544643552,31.955803937022466,49.45353385601343,8735251.424435891,225626000.0,-1.0172163735762214,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,46.985355,0.011857541268712968,1.0
2014-10-27,51.310001,51.360001,51.009998,51.310001,47.086304,11654500,0.6713333333333333,0.8333333333333334,0.8709677419354839,0.0,49.6409999,51.12599996666667,51.22440006,49.69765008,50.389305985843635,50.72143482054948,50.91701300384977,49.58365806806881,1.1099999999999994,95.68240905063232,88.1830285797497,78.66692990436265,71.91488888057201,-0.2698133982907862,-0.45802731311583994,70.8025553672394,53.40613204592422,26393041.869653746,248169100.0,2.2111553344391357,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,47.517609,0.009159882245164175,1.0
2014-10-28,51.560001,51.790001,51.299999,51.779999,47.517609,13267200,0.6713333333333333,0.8333333333333334,0.9032258064516129,0.14285714285714285,49.9359996,51.10833323333333,51.24620006,49.728750070000004,50.64215926114479,50.789729283739845,50.95085559193409,49.60551220669499,2.949996999999996,100.0,94.37598817643386,86.48182553437313,78.77833976929071,-0.13832951821157735,-0.3940877541349874,95.83597361140676,53.076862932286076,39118617.409345224,261436300.0,6.041361620259602,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,47.875507,0.007531902541645152,1.0
2014-10-29,51.84,52.27,51.68,52.169998,47.875507,16546900,0.6713333333333333,0.8333333333333334,0.9354838709677419,0.2857142857142857,50.3679996,51.0969999,51.2724,49.76165006,50.919948122754825,50.87877887833728,50.99866509813276,49.631029478270165,4.32,100.0,98.56080301687744,91.74482493979995,85.63119345951192,-0.002627646147118412,-0.3157957325374136,115.08794764425316,59.21833901348459,50056286.58290438,277983200.0,9.028213543499,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,48.141636,0.005558771419381436,1.0
2014-10-30,52.009998,52.619999,51.919998,52.459999,48.141636,14107600,0.6713333333333333,0.8333333333333334,0.967741935483871,0.42857142857142855,50.8009994,51.070999799999996,51.30460002000001,49.791950045,51.19995737316304,50.98079307973487,51.05597230997069,49.65917842873514,4.329998000000003,100.0,100.0,96.08112122363241,91.4359238992685,0.12685541197913608,-0.22726550363410367,119.47746060037804,65.4535339200332,57714707.22458932,292090800.0,8.99646355710652,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,48.719776,0.012009147341814463,1.0
