Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Weekday,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,EMA_50,EMA_200,MOM_10,STOCHRSIk,STOCHRSId,STOCHk,STOCHd,MACD,MACD_signal,CCI_14,MFI_14,AD,OBV,ROC_10,SIG_SMA_10,SIG_SMA_30,SIG_SMA_50,SIG_SMA_200,SIG_EMA_10,SIG_EMA_30,SIG_EMA_50,SIG_EMA_200,SIG_MOM,SIG_STOCHRSI,SIG_STOCH_K,SIG_STOCH_D,SIG_MACD,SIG_CCI,SIG_MFI,SIG_AD,SIG_OBV,SIG_ROC,future_adj_close,return_t,label
2014-10-17,74.18,74.5,73.029999,74.099998,68.273918,11462300,0.6713333333333333,0.8333333333333334,0.5483870967741935,0.5714285714285714,76.7699997,76.4866664,76.00139985999999,76.08564987000001,76.06138301128445,76.33610920989919,76.21948083074572,76.08970286616916,-3.220001999999994,2.216100889858419,19.573822878760527,18.90237931545333,31.639121021375427,-0.1694388069900441,0.22295753175853772,-160.55289622445588,54.14485275403334,38923530.94434926,-128674100.0,-4.16451370926021,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,69.23214,0.01403496427435158,1.0
2014-10-20,74.139999,75.220001,73.919998,75.139999,69.23214,7040700,0.6713333333333333,0.8333333333333334,0.6451612903225806,0.0,76.5489998,76.44033306666665,76.01079988,76.068099855,75.89385864559637,76.25894080926054,76.17714820993217,76.08025307645603,-2.2099989999999963,12.098934569405275,11.760435542302242,25.78891741945243,25.708230842134345,-0.2404610143706094,0.1302738225327083,-94.5884624567253,54.60556765963821,45097663.58812022,-121633400.0,-2.8571416381937027,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,70.042938,0.011711294783030013,1.0
2014-11-03,76.349998,76.379997,75.589996,76.279999,70.282494,6894400,0.6713333333333333,0.9166666666666666,0.0967741935483871,0.0,76.3009979,76.44533283333332,76.34079942,75.99974975,76.27183613503031,76.28622812362617,76.22091816946305,76.10148456668075,1.1400000000000006,71.74561493550888,64.21160445905605,65.60956946498672,61.37337083940084,-0.022302338169652103,-0.04117298472449793,29.980322875673536,43.557140602443596,52330128.97910384,-87475800.0,1.5171679733453292,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,71.185455,0.012847594736749235,1.0
2014-11-04,76.489998,77.370003,76.279999,77.260002,71.185455,6904900,0.6713333333333333,0.9166666666666666,0.12903225806451613,0.14285714285714285,76.4249984,76.5006663,76.37219942,76.00684978,76.4515026559339,76.34905224468255,76.2616665549743,76.11301210333069,1.2400049999999965,82.62917771587341,71.96243326376646,76.70620063676319,67.49434349303975,0.05821300843182087,-0.021295786093234167,96.15485188227801,56.86169868472115,57841371.882616155,-80570900.0,1.6311563390353678,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,71.590843,0.005694815043326029,1.0
2014-11-06,78.150002,78.18,77.169998,77.809998,71.692192,4621900,0.6713333333333333,0.9166666666666666,0.1935483870967742,0.42857142857142855,76.747998,76.57766596666667,76.45499942000001,76.03284977,76.88422824074914,76.52484145658484,76.37657858534921,76.14553130630426,1.5599979999999931,100.0,92.71918870991676,92.37998178192338,85.15415753170551,0.23913384312770347,0.05911438597772201,172.13505168649328,60.31730346493282,58283732.6711762,-70275200.0,2.0458990163934336,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,72.576729,0.012337982356572352,1.0
2014-11-07,77.839996,79.080002,77.610001,78.769997,72.576729,9498800,0.6713333333333333,0.9166666666666666,0.22580645161290322,0.5714285714285714,76.986998,76.65366593333333,76.51239932,76.054599765,77.22709528788566,76.6696902013213,76.4704381310218,76.1716453928087,2.3900000000000006,100.0,98.50946280462563,90.81529000329624,89.85718732054984,0.3783340894553078,0.12295832667323917,201.0852393234476,61.63602918522957,63776174.180263735,-60776400.0,3.1290915080816255,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,73.194046,0.008505715378823497,1.0
2014-11-10,78.599998,80.129997,78.419998,79.440002,73.194046,12640500,0.6713333333333333,0.9166666666666666,0.3225806451612903,0.0,77.2719986,76.76566593333332,76.59119935999999,76.081049765,77.62944196281553,76.84841999478445,76.58689161607977,76.20416635407429,2.8500060000000076,100.0,100.0,89.24519193543067,90.81348790688344,0.5365303042196246,0.20567272218251625,201.00704816029776,63.69549810210496,66215636.87263951,-48135900.0,3.721120445025232,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,72.797867,-0.005412721685039812,0.0
2014-11-12,78.830002,79.440002,78.650002,79.199997,72.9729,6791200,0.6713333333333333,0.9166666666666666,0.3870967741935484,0.2857142857142857,77.8189988,76.9529991,76.72019929999999,76.12824978,78.12036999163684,77.13059432425986,76.78066384475491,76.2616165782455,2.809997999999993,86.94869104286907,93.19713445183925,80.27363732633081,84.64966393343887,0.6935880996223176,0.3695572673631585,110.59219786155084,64.52061679403457,66423337.82162447,-46947100.0,3.6784893792183357,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,76.418854,0.04722237981497246,1.0
2014-11-14,82.580002,83.150002,82.099998,82.959999,76.437279,10636600,0.6713333333333333,0.9166666666666666,0.45161290322580644,0.5714285714285714,79.1369995,77.36466569999999,76.95679932,76.210599785,79.71727258944283,77.85730476659995,77.25506112466611,76.39405753592982,6.690001999999993,94.30597873022036,89.40112027198616,91.93131899006103,85.636902071463,1.304058169508238,0.6639909805493818,180.32336055434496,76.44326553420085,93534309.62143625,-13498100.0,8.771472745698407,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,76.999329,0.007353087490202359,1.0
2014-11-18,83.5,83.919998,83.339996,83.790001,77.202026,6096400,0.6713333333333333,0.9166666666666666,0.5806451612903226,0.14285714285714285,80.51899949999999,77.78833236666667,77.2385994,76.320449755,81.03090166731296,78.58484221718061,77.74926638305398,76.53834095399513,6.529999000000004,100.0,98.10199291007343,98.02703910756047,95.99004530566087,1.7309773081267394,1.0181024875736737,137.27911946722148,85.987892412744,102876160.24094498,591700.0,8.451978813047408,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,78.307686,0.014321644874967454,1.0
2014-11-21,85.339996,85.440002,84.580002,84.650002,77.994408,6649600,0.6713333333333333,0.9166666666666666,0.6774193548387096,0.5714285714285714,82.5130005,78.44933243333334,77.7553995,76.49434975,82.69875873138326,79.69960863719976,78.53936699682565,76.78070520481295,5.880004999999997,91.54573483522631,95.92122524226583,90.80273619359889,93.77327034880908,2.149294579558827,1.532998219321111,94.35316254048486,85.72600768280896,99223108.81663102,11618400.0,7.464777483741679,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,78.68544,0.008860019810650988,1.0
2014-11-24,84.849998,85.610001,84.769997,85.400002,78.68544,7995500,0.6713333333333333,0.9166666666666666,0.7741935483870968,0.0,83.1090005,78.7106659,77.94719958,76.55254975,83.18989387113176,80.06737595092882,78.80841150675407,76.86646935202874,5.959999999999994,88.78101846526556,92.18156473068768,92.01412797978065,92.20834491844147,2.2439543440847274,1.6751894442738344,91.46140619464954,85.93212141072723,103220896.89025928,19613900.0,7.502517434478404,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,78.270821,-0.005269323015795524,0.0
2014-11-26,84.900002,85.110001,84.480003,84.980003,78.298462,3942800,0.6713333333333333,0.9166666666666666,0.8387096774193549,0.2857142857142857,84.2810006,79.26899923333333,78.29459962,76.65339974,83.77720178150142,80.6790043566401,79.2818362321094,77.02683381158116,5.780006,76.4100773710933,82.80220396806577,93.60031787495357,92.80961449772441,2.2432700501502296,1.8818389364813213,67.58281673106761,80.90415262280571,105536487.73494856,16881200.0,7.297987650176301,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,80.657181,0.03012471688141205,1.0
2014-11-28,86.18,88.089996,85.900002,87.540001,80.657181,7820600,0.6713333333333333,0.9166666666666666,0.9032258064516129,0.5714285714285714,84.7410005,79.72633259999999,78.52099962,76.71429974,84.46134709395571,81.121649301373,79.6056858308502,77.13144244032163,4.599998999999997,78.42813068796981,79.35124137563385,92.64893486958773,93.02121679432678,2.4114407736653476,1.9877593039181267,129.8853870545043,80.78755090317571,109428957.43230844,24701800.0,5.546176620540709,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,79.440971,-0.015078756595770293,0.0
2014-12-02,86.269997,86.699997,85.93,86.400002,79.606827,6766300,0.6713333333333333,1.0,0.06451612903225806,0.14285714285714285,85.3500009,80.50566613333334,78.9103998,76.82179974,85.07544774058192,81.76989307435453,80.12134255358376,77.31320049704654,2.8300020000000075,58.772425623202054,68.28306101224786,85.53352826020063,88.98125933845893,2.396507490608826,2.137134414420151,90.30819333235681,71.68041491102053,108291425.84390235,22327200.0,3.386385066411401,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,78.698837,-0.011405931302851724,0.0
2014-12-04,84.129997,84.82,83.650002,84.760002,78.532051,6901400,0.6713333333333333,1.0,0.12903225806451613,0.42857142857142855,85.44200140000001,81.09399973333332,79.25079987999999,76.928449785,84.99794501642262,82.15413144176084,80.48480733223937,77.46243148643697,-0.22999599999999987,12.979487477873569,32.64588948134285,60.978841705271,73.13965846363058,2.080738241785596,2.142606582340788,-39.03696490710937,55.2642710569501,110621819.52590731,9051500.0,-0.2706153728818771,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,77.939087,-0.007550598672126818,0.0
2014-12-08,84.150002,84.669998,83.849998,84.230003,78.041008,6266000,0.6713333333333333,1.0,0.25806451612903225,0.0,85.3540016,81.61800003333333,79.56559998,77.03784981000001,84.72771625066306,82.40670645423609,80.76864398489302,77.59535584996387,-0.41999900000000423,0.6382635206771371,4.539250332850226,30.580542109849436,44.90159738090983,1.7096516651405125,2.013960153689,-77.1559367364092,46.43293994072133,109712046.59190542,8747400.0,-0.4961594684900353,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,77.420235,-0.007954446206025478,0.0
